version,2.3.0
info,balls_per_over,6
info,team,Jharkhand
info,team,Tripura
info,team_type,club
info,gender,male
info,season,2017/18
info,date,2018/01/10
info,event,Syed Mushtaq Ali Trophy
info,match_id,1130700
info,match_type,T20
info,overs,20
info,venue,JSCA International Stadium Complex
info,city,
info,toss_winner,Tripura
info,toss_decision,field
info,winner,Jharkhand
info,winner_runs,24
info,player,Jharkhand,Virat Singh
info,player,Jharkhand,Ishan Kishan
info,player,Jharkhand,IR Jaggi
info,player,Jharkhand,SS Tiwary
info,player,Jharkhand,Kumar Deobrat
info,player,Jharkhand,Pratyush Singh
info,player,Jharkhand,KR Singh
info,player,Jharkhand,Monu Kumar
info,player,Jharkhand,VR Aaron
info,player,Jharkhand,S Nadeem
info,player,Jharkhand,Jaskaran Singh
info,player,Tripura,Manisankar Murasingh
info,player,Tripura,Ajay Sarkar
info,player,Tripura,AK Sarkar
info,player,Tripura,AA Chakraborty
info,player,Tripura,SS Majumder
info,player,Tripura,Gurinder Singh
info,player,Tripura,SK Patel
info,player,Tripura,U U Bose
info,player,Tripura,Yashpal Singh
info,player,Tripura,KK Acharjee
info,player,Tripura,NN Sen Chowdhary
info,registry,people,AA Chakraborty,44e58b5b
info,registry,people,AK Sarkar,92cadfe2
info,registry,people,Ajay Sarkar,10636efb
info,registry,people,Gurinder Singh,911d04ad
info,registry,people,IR Jaggi,dded65e7
info,registry,people,Ishan Kishan,752f7486
info,registry,people,Jaskaran Singh,5efcabe2
info,registry,people,KK Acharjee,d57936b4
info,registry,people,KR Singh,fe608a7e
info,registry,people,Kumar Deobrat,bc6d8229
info,registry,people,Manisankar Murasingh,52cb36a0
info,registry,people,Monu Kumar,fb24e76c
info,registry,people,NN Sen Chowdhary,08a11820
info,registry,people,Pratyush Singh,456af189
info,registry,people,S Nadeem,9d80c5e1
info,registry,people,SK Patel,f93b43dd
info,registry,people,SS Majumder,76307fc7
info,registry,people,SS Tiwary,709b0bac
info,registry,people,U U Bose,d28a7a2a
info,registry,people,VR Aaron,0a3d54b9
info,registry,people,Virat Singh,26d76ad9
info,registry,people,Yashpal Singh,297b26da
