version,2.3.0
info,balls_per_over,6
info,team,Jammu & Kashmir
info,team,Jharkhand
info,team_type,club
info,gender,male
info,season,2018/19
info,date,2019/02/22
info,event,Syed Mushtaq Ali Trophy
info,match_id,1157109
info,match_type,T20
info,overs,20
info,venue,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -CP Ground,Mulapadu"
info,city,
info,toss_winner,Jharkhand
info,toss_decision,field
info,winner,Jharkhand
info,winner_wickets,9
info,player,Jammu & Kashmir,Abdul Samad
info,player,Jammu & Kashmir,Jatin Wadhwan
info,player,Jammu & Kashmir,Shubham Khajuria
info,player,Jammu & Kashmir,Manzoor Dar
info,player,Jammu & Kashmir,Parvez Rasool
info,player,Jammu & Kashmir,IK Pathan
info,player,Jammu & Kashmir,Shubham Pundir
info,player,Jammu & Kashmir,Suryansh Raina
info,player,Jammu & Kashmir,Rasikh Salam
info,player,Jammu & Kashmir,Umar Nazir
info,player,Jammu & Kashmir,Mujtaba Yousuf
info,player,Jharkhand,S Nadeem
info,player,Jharkhand,AS Roy
info,player,Jharkhand,Monu Kumar
info,player,Jharkhand,R Shukla
info,player,Jharkhand,Vikash Singh
info,player,Jharkhand,Anand Singh
info,player,Jharkhand,Ishan Kishan
info,player,Jharkhand,Virat Singh
info,player,Jharkhand,IR Jaggi
info,player,Jharkhand,SS Tiwary
info,player,Jharkhand,Kumar Deobrat
info,registry,people,AS Roy,e4cdf230
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Anand Singh,d2550980
info,registry,people,IK Pathan,5fa06777
info,registry,people,IR Jaggi,dded65e7
info,registry,people,Ishan Kishan,752f7486
info,registry,people,Jatin Wadhwan,2cd4271e
info,registry,people,Kumar Deobrat,bc6d8229
info,registry,people,Manzoor Dar,91a260d3
info,registry,people,Monu Kumar,fb24e76c
info,registry,people,Mujtaba Yousuf,f5c9b42c
info,registry,people,Parvez Rasool,9170ff49
info,registry,people,R Shukla,de4b0555
info,registry,people,Rasikh Salam,b8527c3d
info,registry,people,S Nadeem,9d80c5e1
info,registry,people,SS Tiwary,709b0bac
info,registry,people,Shubham Khajuria,d8a90827
info,registry,people,Shubham Pundir,86a98b15
info,registry,people,Suryansh Raina,d162e895
info,registry,people,Umar Nazir,734062e6
info,registry,people,Vikash Singh,8b018008
info,registry,people,Virat Singh,26d76ad9
