version,2.3.0
info,balls_per_over,6
info,team,Assam
info,team,Bengal
info,team_type,club
info,gender,male
info,season,2018/19
info,date,2019/02/25
info,event,Syed Mushtaq Ali Trophy
info,match_id,1157151
info,match_type,T20
info,overs,20
info,venue,Barabati Stadium
info,city,
info,toss_winner,Bengal
info,toss_decision,field
info,winner,Assam
info,winner_runs,26
info,player,Assam,Pallav Kumar Das
info,player,Assam,Swarupam Purkayastha
info,player,Assam,Sibsankar Roy
info,player,Assam,R Parag
info,player,Assam,Rajjakuddin Ahmed
info,player,Assam,Wasiqur Rahman
info,player,Assam,Amit Sinha
info,player,Assam,AN Ahmed
info,player,Assam,Pritam Das
info,player,Assam,Jitumoni Kalita
info,player,Assam,Mukhtar Hussain
info,player,Bengal,AB Dinda
info,player,Bengal,IC Porel
info,player,Bengal,Kanishk Seth
info,player,Bengal,Shahbaz Ahmed
info,player,Bengal,Vivek Singh
info,player,Bengal,P Ray Barman
info,player,Bengal,MK Tiwary
info,player,Bengal,SP Goswami
info,player,Bengal,AR Easwaran
info,player,Bengal,WP Saha
info,player,Bengal,Ritwik Roy Chowdhury
info,registry,people,AB Dinda,66b30f71
info,registry,people,AN Ahmed,2af1b6d2
info,registry,people,AR Easwaran,10b58586
info,registry,people,Amit Sinha,2f48362d
info,registry,people,IC Porel,fdf7491e
info,registry,people,Jitumoni Kalita,14857cf9
info,registry,people,Kanishk Seth,98f27d4b
info,registry,people,MK Tiwary,26e5cabf
info,registry,people,Mukhtar Hussain,97114e80
info,registry,people,P Ray Barman,441c72ae
info,registry,people,Pallav Kumar Das,c2294408
info,registry,people,Pritam Das,e342d310
info,registry,people,R Parag,04a418e8
info,registry,people,Rajjakuddin Ahmed,69cbffb8
info,registry,people,Ritwik Roy Chowdhury,6033d30a
info,registry,people,SP Goswami,541f85c9
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,Sibsankar Roy,3d8348d0
info,registry,people,Swarupam Purkayastha,dfc887dc
info,registry,people,Vivek Singh,a446c7be
info,registry,people,WP Saha,fe11caa6
info,registry,people,Wasiqur Rahman,645eaa96
