version,2.3.0
info,balls_per_over,6
info,team,Odisha
info,team,Bengal
info,team_type,club
info,gender,male
info,season,2018/19
info,date,2019/03/02
info,event,Syed Mushtaq Ali Trophy
info,match_id,1157205
info,match_type,T20
info,overs,20
info,venue,Barabati Stadium
info,city,
info,toss_winner,Odisha
info,toss_decision,bat
info,winner,Bengal
info,winner_wickets,8
info,player,Odisha,Shantanu Mishra
info,player,Odisha,Rajesh Dhuper
info,player,Odisha,Anurag Sarangi
info,player,Odisha,BB Samantray
info,player,Odisha,AS Raut
info,player,Odisha,Arabind Singh
info,player,Odisha,Suryakant Pradhan
info,player,Odisha,Rajesh Mohanty
info,player,Odisha,Subham Nayak
info,player,Odisha,Pappu Roy
info,player,Odisha,Ashutosh Das
info,player,Bengal,AB Dinda
info,player,Bengal,IC Porel
info,player,Bengal,Ayan Bhattacharjee
info,player,Bengal,Sayan Ghosh
info,player,Bengal,Vivek Singh
info,player,Bengal,Shahbaz Ahmed
info,player,Bengal,SP Goswami
info,player,Bengal,WP Saha
info,player,Bengal,AR Easwaran
info,player,Bengal,Ritwik Roy Chowdhury
info,player,Bengal,MK Tiwary
info,registry,people,AB Dinda,66b30f71
info,registry,people,AR Easwaran,10b58586
info,registry,people,AS Raut,c69a7b5c
info,registry,people,Anurag Sarangi,fb3a1c89
info,registry,people,Arabind Singh,78d516fd
info,registry,people,Ashutosh Das,9fa1b6cf
info,registry,people,Ayan Bhattacharjee,bae68b09
info,registry,people,BB Samantray,53f27a35
info,registry,people,IC Porel,fdf7491e
info,registry,people,MK Tiwary,26e5cabf
info,registry,people,Pappu Roy,7b5235a6
info,registry,people,Rajesh Dhuper,0861a8d6
info,registry,people,Rajesh Mohanty,a73f1f24
info,registry,people,Ritwik Roy Chowdhury,6033d30a
info,registry,people,SP Goswami,541f85c9
info,registry,people,Sayan Ghosh,d4b8ea98
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,Shantanu Mishra,c562ac6d
info,registry,people,Subham Nayak,0c13675e
info,registry,people,Suryakant Pradhan,a81e957f
info,registry,people,Vivek Singh,a446c7be
info,registry,people,WP Saha,fe11caa6
