version,2.3.0
info,balls_per_over,6
info,team,Northern Districts
info,team,Otago Volts
info,team_type,club
info,gender,male
info,season,2018/19
info,date,2018/10/10
info,date,2018/10/11
info,date,2018/10/12
info,event,Plunket Shield
info,match_id,1160281
info,match_type,MDM
info,venue,Bay Oval
info,city,
info,toss_winner,Northern Districts
info,toss_decision,field
info,umpire,DJ Walker
info,umpire,TJ Parlane
info,match_referee,KD Earl
info,winner,Northern Districts
info,winner_wickets,8
info,player,Otago Volts,HD Rutherford
info,player,Otago Volts,BS Wilson
info,player,Otago Volts,S Hicks
info,player,Otago Volts,JL Finnie
info,player,Otago Volts,M Renwick
info,player,Otago Volts,NG Smith
info,player,Otago Volts,MJG Rippon
info,player,Otago Volts,MD Craig
info,player,Otago Volts,C Viljoen
info,player,Otago Volts,JA Duffy
info,player,Otago Volts,MB Bacon
info,player,Northern Districts,DR Flynn
info,player,Northern Districts,HR Cooper
info,player,Northern Districts,KS Williamson
info,player,Northern Districts,DG Brownlie
info,player,Northern Districts,BJ Watling
info,player,Northern Districts,C de Grandhomme
info,player,Northern Districts,DJ Mitchell
info,player,Northern Districts,IS Sodhi
info,player,Northern Districts,N Wagner
info,player,Northern Districts,JD Baker
info,player,Northern Districts,TA Boult
info,registry,people,BJ Watling,928670cc
info,registry,people,BS Wilson,ac3e14ed
info,registry,people,C Viljoen,f7b2cbe8
info,registry,people,C de Grandhomme,94d7f855
info,registry,people,DG Brownlie,22bd731a
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DJ Walker,d4aea8ac
info,registry,people,DR Flynn,9d710afe
info,registry,people,HD Rutherford,0605de92
info,registry,people,HR Cooper,99528b4b
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JD Baker,10f7b52b
info,registry,people,JL Finnie,1ccf9e7e
info,registry,people,KD Earl,58ddb8b4
info,registry,people,KS Williamson,d027ba9f
info,registry,people,M Renwick,b862ef08
info,registry,people,MB Bacon,90701232
info,registry,people,MD Craig,c8574282
info,registry,people,MJG Rippon,b03db6fa
info,registry,people,N Wagner,78adc879
info,registry,people,NG Smith,05b1aef8
info,registry,people,S Hicks,168b4c4f
info,registry,people,TA Boult,a818c1be
info,registry,people,TJ Parlane,3cfc24b0
