version,2.3.0
info,balls_per_over,6
info,team,Karnataka
info,team,Uttar Pradesh
info,team_type,club
info,gender,male
info,season,2018/19
info,date,2019/03/09
info,event,Syed Mushtaq Ali Trophy
info,match_id,1175032
info,match_type,T20
info,overs,20
info,venue,Holkar Stadium
info,city,
info,toss_winner,Uttar Pradesh
info,toss_decision,field
info,winner,Karnataka
info,winner_runs,10
info,player,Karnataka,Rohan Kadam
info,player,Karnataka,BR Sharath
info,player,Karnataka,MA Agarwal
info,player,Karnataka,KK Nair
info,player,Karnataka,MK Pandey
info,player,Karnataka,MS Bhandage
info,player,Karnataka,J Suchith
info,player,Karnataka,M Prasidh Krishna
info,player,Karnataka,Vasuki Koushik
info,player,Karnataka,R Vinay Kumar
info,player,Karnataka,KC Cariappa
info,player,Uttar Pradesh,AS Rajpoot
info,player,Uttar Pradesh,Yash Dayal
info,player,Uttar Pradesh,Mohsin Khan
info,player,Uttar Pradesh,Saurabh Kumar
info,player,Uttar Pradesh,Ankit Chaudhary
info,player,Uttar Pradesh,AD Nath
info,player,Uttar Pradesh,Samarth Singh
info,player,Uttar Pradesh,Upendra Yadav
info,player,Uttar Pradesh,RK Singh
info,player,Uttar Pradesh,PK Garg
info,player,Uttar Pradesh,Shubham Chaubey
info,registry,people,AD Nath,f10e94c4
info,registry,people,AS Rajpoot,db31895a
info,registry,people,Ankit Chaudhary,c0e59e39
info,registry,people,BR Sharath,c2dd89ea
info,registry,people,J Suchith,4125d931
info,registry,people,KC Cariappa,edb3d4f8
info,registry,people,KK Nair,944533a5
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,MA Agarwal,00ea847a
info,registry,people,MK Pandey,93b4fc78
info,registry,people,MS Bhandage,e96801ea
info,registry,people,Mohsin Khan,c33d8116
info,registry,people,PK Garg,bb965e9a
info,registry,people,R Vinay Kumar,41eb4a4f
info,registry,people,RK Singh,0a509d6b
info,registry,people,Rohan Kadam,673314ef
info,registry,people,Samarth Singh,9889da93
info,registry,people,Saurabh Kumar,2a6afc6f
info,registry,people,Shubham Chaubey,58588e5a
info,registry,people,Upendra Yadav,80ffea17
info,registry,people,Vasuki Koushik,f6cb1703
info,registry,people,Yash Dayal,7210d461
