version,2.3.0
info,balls_per_over,6
info,team,Northern Knights
info,team,North-West Warriors
info,team_type,club
info,gender,male
info,season,2019
info,date,2019/08/26
info,event,Cricket Ireland Inter-Provincial Limited Over Cup
info,match_id,1178137
info,match_type,ODM
info,overs,50
info,match_number,9
info,venue,"Woodvale Road, Eglinton"
info,city,Eglinton
info,toss_winner,Northern Knights
info,toss_decision,bat
info,umpire,DK Butler
info,umpire,R Black
info,match_referee,DW Ward
info,target_overs,2,50
info,target_runs,2,246
info,winner,Northern Knights
info,winner_runs,2
info,player,Northern Knights,MP Ellison
info,player,Northern Knights,R Pretorius
info,player,Northern Knights,HT Tector
info,player,Northern Knights,GC Wilson
info,player,Northern Knights,SC Getkate
info,player,Northern Knights,GJ Thompson
info,player,Northern Knights,MR Adair
info,player,Northern Knights,NA Rock
info,player,Northern Knights,J Mulder
info,player,Northern Knights,J Cameron-Dow
info,player,Northern Knights,J Manley
info,player,North-West Warriors,WTS Porterfield
info,player,North-West Warriors,D Barr
info,player,North-West Warriors,AP Gillespie
info,player,North-West Warriors,SR Thompson
info,player,North-West Warriors,DA Rankin
info,player,North-West Warriors,AR McBrine
info,player,North-West Warriors,WT Smale
info,player,North-West Warriors,G Kennedy
info,player,North-West Warriors,GI Hume
info,player,North-West Warriors,CA Young
info,player,North-West Warriors,D Scanlon
info,registry,people,AP Gillespie,8b054bba
info,registry,people,AR McBrine,e957b38f
info,registry,people,CA Young,bd0a4a7d
info,registry,people,D Barr,fefc7d47
info,registry,people,D Scanlon,51c90542
info,registry,people,DA Rankin,ab859427
info,registry,people,DK Butler,671398e3
info,registry,people,DW Ward,e33923eb
info,registry,people,G Kennedy,574b4c01
info,registry,people,GC Wilson,05de1a5a
info,registry,people,GI Hume,25550d06
info,registry,people,GJ Thompson,91f0792f
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Cameron-Dow,b9a2c483
info,registry,people,J Manley,05f85159
info,registry,people,J Mulder,6b64e7a3
info,registry,people,MP Ellison,c9e66e00
info,registry,people,MR Adair,fc55ec67
info,registry,people,NA Rock,43f4087c
info,registry,people,R Black,156c8fb1
info,registry,people,R Pretorius,8ff85f5c
info,registry,people,SC Getkate,c8065f31
info,registry,people,SR Thompson,7f3ad1ed
info,registry,people,WT Smale,97da28bd
info,registry,people,WTS Porterfield,ec02b798
