version,2.3.0
info,balls_per_over,6
info,team,Assam
info,team,Haryana
info,team_type,club
info,gender,male
info,season,2019/20
info,date,2019/11/11
info,event,Syed Mushtaq Ali Trophy
info,match_id,1205765
info,match_type,T20
info,overs,20
info,venue,BKC Ground
info,city,
info,toss_winner,Haryana
info,toss_decision,field
info,winner,Haryana
info,winner_wickets,3
info,player,Assam,Pallav Kumar Das
info,player,Assam,Swarupam Purkayastha
info,player,Assam,Sibsankar Roy
info,player,Assam,R Parag
info,player,Assam,Parvez Aziz
info,player,Assam,Rajjakuddin Ahmed
info,player,Assam,Wasiqur Rahman
info,player,Assam,AN Ahmed
info,player,Assam,Abhilash Gogoi
info,player,Assam,Arup Das
info,player,Assam,Pritam Das
info,player,Haryana,HV Patel
info,player,Haryana,Arun Chaprana
info,player,Haryana,J Yadav
info,player,Haryana,Sumit Kumar
info,player,Haryana,A Mishra
info,player,Haryana,R Tewatia
info,player,Haryana,Treyaksh Bali
info,player,Haryana,Chaitanya Bishnoi
info,player,Haryana,Shivam Chauhan
info,player,Haryana,YR Sharma
info,player,Haryana,RP Sharma
info,registry,people,A Mishra,6b19d823
info,registry,people,AN Ahmed,2af1b6d2
info,registry,people,Abhilash Gogoi,ab922bd0
info,registry,people,Arun Chaprana,3bc94fb9
info,registry,people,Arup Das,4f36495c
info,registry,people,Chaitanya Bishnoi,e793a8ed
info,registry,people,HV Patel,f986ca1a
info,registry,people,J Yadav,81049310
info,registry,people,Pallav Kumar Das,c2294408
info,registry,people,Parvez Aziz,39ddc33b
info,registry,people,Pritam Das,e342d310
info,registry,people,R Parag,04a418e8
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RP Sharma,805b89d7
info,registry,people,Rajjakuddin Ahmed,69cbffb8
info,registry,people,Shivam Chauhan,c6272773
info,registry,people,Sibsankar Roy,3d8348d0
info,registry,people,Sumit Kumar,8998a68f
info,registry,people,Swarupam Purkayastha,dfc887dc
info,registry,people,Treyaksh Bali,3ad2a6d1
info,registry,people,Wasiqur Rahman,645eaa96
info,registry,people,YR Sharma,717b424d
