version,2.3.0
info,balls_per_over,6
info,team,Karnataka
info,team,Services
info,team_type,club
info,gender,male
info,season,2019/20
info,date,2019/11/12
info,event,Syed Mushtaq Ali Trophy
info,match_id,1205769
info,match_type,T20
info,overs,20
info,venue,Dr P.V.G. Raju ACA Sports Complex
info,city,
info,toss_winner,Services
info,toss_decision,field
info,winner,Karnataka
info,winner_runs,80
info,player,Karnataka,Rohan Kadam
info,player,Karnataka,D Padikkal
info,player,Karnataka,MK Pandey
info,player,Karnataka,K Gowtham
info,player,Karnataka,P Dubey
info,player,Karnataka,LUVNITH SISODIA
info,player,Karnataka,A Mithun
info,player,Karnataka,J Suchith
info,player,Karnataka,KK Nair
info,player,Karnataka,Vasuki Koushik
info,player,Karnataka,S Gopal
info,player,Services,Diwesh Pathania
info,player,Services,Varun Choudhary
info,player,Services,Mohit Kumar
info,player,Services,Vikas Yadav
info,player,Services,Pulkit Narang
info,player,Services,Rajat Paliwal
info,player,Services,Nakul Verma
info,player,Services,Ravi Chauhan
info,player,Services,Aanshul Gupta
info,player,Services,Vikas Hathwala
info,player,Services,Nakul Sharma
info,registry,people,A Mithun,66cf56a5
info,registry,people,Aanshul Gupta,71ee052e
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,Diwesh Pathania,a63563c0
info,registry,people,J Suchith,4125d931
info,registry,people,K Gowtham,90de905a
info,registry,people,KK Nair,944533a5
info,registry,people,LUVNITH SISODIA,a689af4b
info,registry,people,MK Pandey,93b4fc78
info,registry,people,Mohit Kumar,caabc8e4
info,registry,people,Nakul Sharma,f5cf7ae0
info,registry,people,Nakul Verma,38c0d699
info,registry,people,P Dubey,ed5a5510
info,registry,people,Pulkit Narang,9dc27cf0
info,registry,people,Rajat Paliwal,2fcb040c
info,registry,people,Ravi Chauhan,f7ce1f24
info,registry,people,Rohan Kadam,673314ef
info,registry,people,S Gopal,7a8bd078
info,registry,people,Varun Choudhary,134bead2
info,registry,people,Vasuki Koushik,f6cb1703
info,registry,people,Vikas Hathwala,904585d1
info,registry,people,Vikas Yadav,fa73f373
