version,2.3.0
info,balls_per_over,6
info,team,Saurashtra
info,team,Delhi
info,team_type,club
info,gender,male
info,season,2019/20
info,date,2019/11/12
info,event,Syed Mushtaq Ali Trophy
info,match_id,1205776
info,match_type,T20
info,overs,20
info,venue,C B Patel Ground
info,city,
info,toss_winner,Delhi
info,toss_decision,field
info,winner,Delhi
info,winner_wickets,6
info,player,Saurashtra,H Desai
info,player,Saurashtra,Kishan Parmar M
info,player,Saurashtra,Dharmendrasinh Jadeja
info,player,Saurashtra,Samarth Vyas
info,player,Saurashtra,Arpit Vasavada
info,player,Saurashtra,SP Jackson
info,player,Saurashtra,PN Mankad
info,player,Saurashtra,Chirag Jani
info,player,Saurashtra,V M Jivrajani
info,player,Saurashtra,C Sakariya
info,player,Saurashtra,JD Unadkat
info,player,Delhi,Suboth Bhati
info,player,Delhi,Simarjeet Singh
info,player,Delhi,Pranshu Vijayran
info,player,Delhi,Lalit Yadav
info,player,Delhi,N Rana
info,player,Delhi,P Negi
info,player,Delhi,Anuj Rawat
info,player,Delhi,Hiten Dalal
info,player,Delhi,DR Shorey
info,player,Delhi,Himmat Singh
info,player,Delhi,Rohan Rathi
info,registry,people,Anuj Rawat,c8f5f961
info,registry,people,Arpit Vasavada,2bbab579
info,registry,people,C Sakariya,2cdce1be
info,registry,people,Chirag Jani,783e6111
info,registry,people,DR Shorey,faa7365d
info,registry,people,Dharmendrasinh Jadeja,d330f9b9
info,registry,people,H Desai,9c86350f
info,registry,people,Himmat Singh,ebcfef83
info,registry,people,Hiten Dalal,74bace71
info,registry,people,JD Unadkat,1e66c162
info,registry,people,Kishan Parmar M,6fa5314b
info,registry,people,Lalit Yadav,ad427b5c
info,registry,people,N Rana,fb2d1dda
info,registry,people,P Negi,f62772e5
info,registry,people,PN Mankad,663b5e34
info,registry,people,Pranshu Vijayran,f0380005
info,registry,people,Rohan Rathi,68501724
info,registry,people,SP Jackson,acc1aeda
info,registry,people,Samarth Vyas,34819e70
info,registry,people,Simarjeet Singh,30df8c66
info,registry,people,Suboth Bhati,bee290b6
info,registry,people,V M Jivrajani,d9079bf7
