version,2.3.0
info,balls_per_over,6
info,team,Nagaland
info,team,Jharkhand
info,team_type,club
info,gender,male
info,season,2019/20
info,date,2019/11/14
info,event,Syed Mushtaq Ali Trophy
info,match_id,1205802
info,match_type,T20
info,overs,20
info,venue,C B Patel Ground
info,city,
info,toss_winner,Nagaland
info,toss_decision,bat
info,winner,Jharkhand
info,winner_wickets,7
info,player,Nagaland,AN Longchar
info,player,Nagaland,Tejosel Yiethun
info,player,Nagaland,SS Mundhe
info,player,Nagaland,STR Binny
info,player,Nagaland,YV Takawale
info,player,Nagaland,Hokaito Zhimomi
info,player,Nagaland,Nagaho Chishi
info,player,Nagaland,Imliwati Lemtur
info,player,Nagaland,Tahmeed Rahman
info,player,Nagaland,Toni Chishi
info,player,Nagaland,Inakato Zhimomi
info,player,Jharkhand,Utkarsh Singh
info,player,Jharkhand,Vivekanand Tiwari
info,player,Jharkhand,VR Aaron
info,player,Jharkhand,AS Roy
info,player,Jharkhand,Supriyo Chakraborty
info,player,Jharkhand,Anand Singh
info,player,Jharkhand,Ishan Kishan
info,player,Jharkhand,Virat Singh
info,player,Jharkhand,Kumar Deobrat
info,player,Jharkhand,Nazim Siddiqui
info,player,Jharkhand,SS Tiwary
info,registry,people,AN Longchar,04cd8289
info,registry,people,AS Roy,e4cdf230
info,registry,people,Anand Singh,d2550980
info,registry,people,Hokaito Zhimomi,96477053
info,registry,people,Imliwati Lemtur,76a33e00
info,registry,people,Inakato Zhimomi,a19ab702
info,registry,people,Ishan Kishan,752f7486
info,registry,people,Kumar Deobrat,bc6d8229
info,registry,people,Nagaho Chishi,5b4d1d4e
info,registry,people,Nazim Siddiqui,88a4a356
info,registry,people,SS Mundhe,0af3426f
info,registry,people,SS Tiwary,709b0bac
info,registry,people,STR Binny,bd17b45f
info,registry,people,Supriyo Chakraborty,0e567e38
info,registry,people,Tahmeed Rahman,13903f13
info,registry,people,Tejosel Yiethun,f5349934
info,registry,people,Toni Chishi,dabf96a5
info,registry,people,Utkarsh Singh,b2a55ac1
info,registry,people,VR Aaron,0a3d54b9
info,registry,people,Virat Singh,26d76ad9
info,registry,people,Vivekanand Tiwari,15745dbe
info,registry,people,YV Takawale,4e04666c
