version,2.3.0
info,balls_per_over,6
info,team,Bengal
info,team,Tamil Nadu
info,team_type,club
info,gender,male
info,season,2020/21
info,date,2021/01/18
info,event,Syed Mushtaq Ali Trophy
info,match_id,1244387
info,match_type,T20
info,overs,20
info,venue,Eden Gardens
info,city,
info,toss_winner,Tamil Nadu
info,toss_decision,field
info,winner,Tamil Nadu
info,winner_wickets,8
info,player,Bengal,SP Goswami
info,player,Bengal,Vivek Singh
info,player,Bengal,SSK Bal
info,player,Bengal,Kaif Ahmad
info,player,Bengal,Shahbaz Ahmed
info,player,Bengal,MK Tiwary
info,player,Bengal,AP Majumdar
info,player,Bengal,Arnab Nandi
info,player,Bengal,Akash Deep
info,player,Bengal,Mukesh Kumar
info,player,Bengal,IC Porel
info,player,Tamil Nadu,B Aparajith
info,player,Tamil Nadu,S Sandeep Warrier
info,player,Tamil Nadu,R Sai Kishore
info,player,Tamil Nadu,M Ashwin
info,player,Tamil Nadu,M Mohammed
info,player,Tamil Nadu,G Periyaswamy
info,player,Tamil Nadu,Hari Nishaanth
info,player,Tamil Nadu,N Jagadeesan
info,player,Tamil Nadu,KB Arun Karthik
info,player,Tamil Nadu,KD Karthik
info,player,Tamil Nadu,M Shahrukh Khan
info,registry,people,AP Majumdar,f4cb4f53
info,registry,people,Akash Deep,0a67aec0
info,registry,people,Arnab Nandi,cee8a83d
info,registry,people,B Aparajith,5b627626
info,registry,people,G Periyaswamy,2e099662
info,registry,people,Hari Nishaanth,c3f37533
info,registry,people,IC Porel,fdf7491e
info,registry,people,KB Arun Karthik,7daedf2f
info,registry,people,KD Karthik,c03f1114
info,registry,people,Kaif Ahmad,7b09e19c
info,registry,people,M Ashwin,e2db2409
info,registry,people,M Mohammed,1b7c4d69
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MK Tiwary,26e5cabf
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,N Jagadeesan,bd54eef5
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,S Sandeep Warrier,cdc6bdba
info,registry,people,SP Goswami,541f85c9
info,registry,people,SSK Bal,4bec0a86
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,Vivek Singh,a446c7be
