version,2.3.0
info,balls_per_over,5
info,team,Northern Superchargers
info,team,Trent Rockets
info,team_type,club
info,gender,female
info,season,2021
info,date,2021/07/26
info,event,The Hundred Women's Competition
info,match_id,1252706
info,match_type,T20
info,overs,20
info,match_number,7
info,venue,"Trent Bridge, Nottingham"
info,city,Nottingham
info,toss_winner,Northern Superchargers
info,toss_decision,bat
info,player_of_match,JI Rodrigues
info,umpire,DJ Millns
info,umpire,S Redfern
info,reserve_umpire,Y Dolphin-Cooper
info,tv_umpire,MJ Saggers
info,match_referee,JJ Whitaker
info,target_overs,2,20
info,target_runs,2,150
info,winner,Northern Superchargers
info,winner_runs,27
info,player,Northern Superchargers,L Winfield-Hill
info,player,Northern Superchargers,JI Rodrigues
info,player,Northern Superchargers,L Wolvaardt
info,player,Northern Superchargers,L Harris
info,player,Northern Superchargers,BAM Heath
info,player,Northern Superchargers,HJ Armitage
info,player,Northern Superchargers,AN Davidson-Richards
info,player,Northern Superchargers,LCN Smith
info,player,Northern Superchargers,EA Russell
info,player,Northern Superchargers,PC Graham
info,player,Northern Superchargers,KA Levick
info,player,Trent Rockets,SJ Johnson
info,player,Trent Rockets,RH Priest
info,player,Trent Rockets,NR Sciver
info,player,Trent Rockets,KH Brunt
info,player,Trent Rockets,H Graham
info,player,Trent Rockets,S Glenn
info,player,Trent Rockets,T Graves
info,player,Trent Rockets,KE Bryce
info,player,Trent Rockets,AJ Freeborn
info,player,Trent Rockets,LF Higham
info,player,Trent Rockets,ML Kirk
info,registry,people,AJ Freeborn,c6da6ebf
info,registry,people,AN Davidson-Richards,35828bdd
info,registry,people,BAM Heath,3b5a9438
info,registry,people,DJ Millns,46ecfe40
info,registry,people,EA Russell,708584cf
info,registry,people,H Graham,99812d10
info,registry,people,HJ Armitage,f05167d2
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JJ Whitaker,4ea85016
info,registry,people,KA Levick,8f30d191
info,registry,people,KE Bryce,f13d3eba
info,registry,people,KH Brunt,6a434bd3
info,registry,people,L Harris,36e2dc83
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LCN Smith,340202b0
info,registry,people,LF Higham,fbd79b9b
info,registry,people,MJ Saggers,402d5937
info,registry,people,ML Kirk,2dece89c
info,registry,people,NR Sciver,f3a18a0c
info,registry,people,PC Graham,b5c83d22
info,registry,people,RH Priest,e6f0408a
info,registry,people,S Glenn,b34e0c77
info,registry,people,S Redfern,5b038989
info,registry,people,SJ Johnson,d7b754d4
info,registry,people,T Graves,e893fef7
info,registry,people,Y Dolphin-Cooper,87568a36
