version,2.3.0
info,balls_per_over,6
info,team,Galle Gladiators
info,team,Dambulla Aura
info,team_type,club
info,gender,male
info,season,2022/23
info,date,2022/12/19
info,event,Lanka Premier League
info,match_id,1324538
info,match_type,T20
info,overs,20
info,match_number,20
info,venue,"R Premadasa Stadium, Colombo"
info,city,Colombo
info,toss_winner,Galle Gladiators
info,toss_decision,bat
info,player_of_match,MW Forde
info,umpire,HDPK Dharmasena
info,umpire,RR Wimalasiri
info,reserve_umpire,RA Kottahachchi
info,tv_umpire,RMPJ Rambukwella
info,match_referee,GF Labrooy
info,target_overs,2,20
info,target_runs,2,130
info,winner,Dambulla Aura
info,winner_wickets,4
info,player,Galle Gladiators,PTM Dabare
info,player,Galle Gladiators,BKG Mendis
info,player,Galle Gladiators,BOP Fernando
info,player,Galle Gladiators,Asad Shafiq
info,player,Galle Gladiators,Azam Khan
info,player,Galle Gladiators,MNK Fernando
info,player,Galle Gladiators,Imad Wasim
info,player,Galle Gladiators,N Vimukthi
info,player,Galle Gladiators,Wahab Riaz
info,player,Galle Gladiators,LN Malinga
info,player,Galle Gladiators,N Thushara
info,player,Dambulla Aura,S Daniel
info,player,Dambulla Aura,JM Cox
info,player,Dambulla Aura,L Croospulle
info,player,Dambulla Aura,MW Forde
info,player,Dambulla Aura,Sikandar Raza
info,player,Dambulla Aura,LD Madushanka
info,player,Dambulla Aura,C Wickramasinghe
info,player,Dambulla Aura,S Jayathilake
info,player,Dambulla Aura,DS Thilakaratne
info,player,Dambulla Aura,Noor Ahmad
info,player,Dambulla Aura,PM Liyanagamage
info,registry,people,Asad Shafiq,50250426
info,registry,people,Azam Khan,ee8f1a6d
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,BOP Fernando,1d048deb
info,registry,people,C Wickramasinghe,a5c48ed1
info,registry,people,DS Thilakaratne,a2198010
info,registry,people,GF Labrooy,8e088dbc
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,JM Cox,ff154ecd
info,registry,people,L Croospulle,e30c9b2d
info,registry,people,LD Madushanka,de063a39
info,registry,people,LN Malinga,79eb117d
info,registry,people,MNK Fernando,ba603555
info,registry,people,MW Forde,83d17bbc
info,registry,people,N Thushara,ee1b6c27
info,registry,people,N Vimukthi,b215a7be
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,PM Liyanagamage,3ee0050f
info,registry,people,PTM Dabare,a97fbc2c
info,registry,people,RA Kottahachchi,808f2939
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,S Daniel,a38e7be7
info,registry,people,S Jayathilake,6ba6ca1f
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Wahab Riaz,b3118300
