version,2.3.0
info,balls_per_over,6
info,team,Central Stags
info,team,Wellington Firebirds
info,team_type,club
info,gender,male
info,season,2022/23
info,date,2022/11/14
info,date,2022/11/15
info,date,2022/11/16
info,date,2022/11/17
info,event,Plunket Shield
info,match_id,1328686
info,match_type,MDM
info,match_number,10
info,venue,Fitzherbert Park
info,city,
info,toss_winner,Central Stags
info,toss_decision,field
info,umpire,BF Bowden
info,umpire,DJ Walker
info,match_referee,K Pulley
info,winner,Wellington Firebirds
info,winner_runs,68
info,player,Central Stags,CG Heaphy
info,player,Central Stags,WA Young
info,player,Central Stags,BD Schmulian
info,player,Central Stags,D Cleaver
info,player,Central Stags,TC Bruce
info,player,Central Stags,JA Clarkson
info,player,Central Stags,DAJ Bracewell
info,player,Central Stags,AY Patel
info,player,Central Stags,BG Randell
info,player,Central Stags,RL Toole
info,player,Central Stags,LR Dudding
info,player,Wellington Firebirds,LI Georgeson
info,player,Wellington Firebirds,R Ravindra
info,player,Wellington Firebirds,TM Johnson
info,player,Wellington Firebirds,NF Kelly
info,player,Wellington Firebirds,TA Blundell
info,player,Wellington Firebirds,TB Robinson
info,player,Wellington Firebirds,PF Younghusband
info,player,Wellington Firebirds,LV van Beek
info,player,Wellington Firebirds,AJ Leonard
info,player,Wellington Firebirds,IG McPeake
info,player,Wellington Firebirds,MW Snedden
info,registry,people,AJ Leonard,b501ed14
info,registry,people,AY Patel,fbd4f01f
info,registry,people,BD Schmulian,25dcd237
info,registry,people,BF Bowden,efc0a862
info,registry,people,BG Randell,dbeb6733
info,registry,people,CG Heaphy,fcbd6eb8
info,registry,people,D Cleaver,e3a949be
info,registry,people,DAJ Bracewell,2e9fdf9b
info,registry,people,DJ Walker,d4aea8ac
info,registry,people,IG McPeake,f8e48647
info,registry,people,JA Clarkson,bed90114
info,registry,people,K Pulley,644bf4ad
info,registry,people,LI Georgeson,6be7b49d
info,registry,people,LR Dudding,678a8133
info,registry,people,LV van Beek,782fb776
info,registry,people,MW Snedden,236c8ffb
info,registry,people,NF Kelly,97f437ed
info,registry,people,PF Younghusband,149d0c18
info,registry,people,R Ravindra,ba5e1069
info,registry,people,RL Toole,2fef3b0c
info,registry,people,TA Blundell,21e5f325
info,registry,people,TB Robinson,5d664346
info,registry,people,TC Bruce,f92c9151
info,registry,people,TM Johnson,917f66da
info,registry,people,WA Young,8afe73e2
