version,2.3.0
info,balls_per_over,6
info,team,Canterbury
info,team,Auckland
info,team_type,club
info,gender,female
info,season,2022/23
info,date,2023/01/08
info,event,Women's Super Smash
info,match_id,1341240
info,match_type,T20
info,overs,20
info,match_number,15
info,venue,"Eden Park Outer Oval, Auckland"
info,city,Auckland
info,toss_winner,Auckland
info,toss_decision,field
info,umpire,BF Bowden
info,umpire,PJ Pasco
info,tv_umpire,CM Brown
info,match_referee,GB Troup
info,target_overs,2,20
info,target_runs,2,138
info,winner,Canterbury
info,winner_runs,27
info,player,Canterbury,KG Anderson
info,player,Canterbury,NB Cox
info,player,Canterbury,LEV Hughes
info,player,Canterbury,AE Satterthwaite
info,player,Canterbury,FC Wilson
info,player,Canterbury,KFG Nation
info,player,Canterbury,LMM Tahuhu
info,player,Canterbury,AG Gerken
info,player,Canterbury,MJ Banks
info,player,Canterbury,GES Sullivan
info,player,Canterbury,SR Asmussen
info,player,Auckland,S Shahri
info,player,Auckland,P Catton
info,player,Auckland,LR Down
info,player,Auckland,BG Armstrong
info,player,Auckland,KT Perkins
info,player,Auckland,AN Kelly
info,player,Auckland,HR Huddleston
info,player,Auckland,MB Templeton
info,player,Auckland,AT Hucker
info,player,Auckland,MM Penfold
info,player,Auckland,SJ Carnachan
info,registry,people,AE Satterthwaite,72b7ed1e
info,registry,people,AG Gerken,a7fcf627
info,registry,people,AN Kelly,397369e0
info,registry,people,AT Hucker,9b554bb9
info,registry,people,BF Bowden,efc0a862
info,registry,people,BG Armstrong,eca08a1d
info,registry,people,CM Brown,448f4f1c
info,registry,people,FC Wilson,a28132bd
info,registry,people,GB Troup,94f0e744
info,registry,people,GES Sullivan,165b9097
info,registry,people,HR Huddleston,8d6b36e3
info,registry,people,KFG Nation,6ed21f30
info,registry,people,KG Anderson,ae79a86f
info,registry,people,KT Perkins,78ad3258
info,registry,people,LEV Hughes,5b43fe48
info,registry,people,LMM Tahuhu,60471339
info,registry,people,LR Down,19147fe0
info,registry,people,MB Templeton,e1504909
info,registry,people,MJ Banks,1e17a238
info,registry,people,MM Penfold,645b2a2f
info,registry,people,NB Cox,219f1323
info,registry,people,P Catton,22e8ba50
info,registry,people,PJ Pasco,fd92a10c
info,registry,people,S Shahri,c28355cd
info,registry,people,SJ Carnachan,3b67e117
info,registry,people,SR Asmussen,31972229
