version,2.3.0
info,balls_per_over,6
info,team,Nottinghamshire
info,team,Kent
info,team_type,club
info,gender,male
info,season,2023
info,date,2023/07/25
info,date,2023/07/26
info,date,2023/07/27
info,date,2023/07/28
info,event,County Championship
info,match_id,1347257
info,match_type,MDM
info,venue,"Trent Bridge, Nottingham"
info,city,Nottingham
info,toss_winner,Kent
info,toss_decision,field
info,umpire,NA Mallender
info,umpire,PJ Hartley
info,match_referee,SJ Davis
info,declared,3
info,winner,Nottinghamshire
info,winner_runs,321
info,player,Nottinghamshire,BT Slater
info,player,Nottinghamshire,H Hameed
info,player,Nottinghamshire,WA Young
info,player,Nottinghamshire,JM Clarke
info,player,Nottinghamshire,SJ Mullaney
info,player,Nottinghamshire,TJ Moores
info,player,Nottinghamshire,LW James
info,player,Nottinghamshire,CG Harrison
info,player,Nottinghamshire,BA Hutton
info,player,Nottinghamshire,LJ Fletcher
info,player,Nottinghamshire,D Paterson
info,player,Kent,TE Albert
info,player,Kent,BG Compton
info,player,Kent,BBA Geddes
info,player,Kent,JA Leaning
info,player,Kent,HZ Finch
info,player,Kent,AJ Blake
info,player,Kent,JDM Evison
info,player,Kent,MR Quinn
info,player,Kent,Jaskaran Singh
info,player,Kent,Arshdeep Singh
info,player,Kent,Arafat Bhuiyan
info,registry,people,AJ Blake,ea27a674
info,registry,people,Arafat Bhuiyan,71183382
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,BA Hutton,b3544c5d
info,registry,people,BBA Geddes,305c31f2
info,registry,people,BG Compton,52d884b9
info,registry,people,BT Slater,c5f1d2a1
info,registry,people,CG Harrison,f655d740
info,registry,people,D Paterson,462d7c62
info,registry,people,H Hameed,fe0c5457
info,registry,people,HZ Finch,6b16f8ba
info,registry,people,JA Leaning,f2ab7a69
info,registry,people,JDM Evison,00cada13
info,registry,people,JM Clarke,2eca67f5
info,registry,people,Jaskaran Singh,ec178b04
info,registry,people,LJ Fletcher,e423d162
info,registry,people,LW James,2baad3bd
info,registry,people,MR Quinn,b082d112
info,registry,people,NA Mallender,3b5dfcd4
info,registry,people,PJ Hartley,17c7ff26
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,SJ Mullaney,0e0d43b4
info,registry,people,TE Albert,a6c17509
info,registry,people,TJ Moores,85dcb721
info,registry,people,WA Young,8afe73e2
