version,2.3.0
info,balls_per_over,6
info,team,Warwickshire
info,team,Hampshire
info,team_type,club
info,gender,male
info,season,2023
info,date,2023/08/29
info,event,One-Day Cup
info,match_id,1347565
info,match_type,ODM
info,overs,50
info,venue,"Edgbaston, Birmingham"
info,city,Birmingham
info,toss_winner,Hampshire
info,toss_decision,field
info,umpire,SJ O'Shaughnessy
info,umpire,Tom Lungley
info,match_referee,SG Hinks
info,target_overs,2,50
info,target_runs,2,94
info,winner,Hampshire
info,winner_wickets,9
info,player,Warwickshire,RM Yates
info,player,Warwickshire,EG Barnard
info,player,Warwickshire,WMH Rhodes
info,player,Warwickshire,SR Hain
info,player,Warwickshire,MGK Burgess
info,player,Warwickshire,JG Bethell
info,player,Warwickshire,EA Brookes
info,player,Warwickshire,JB Lintott
info,player,Warwickshire,DR Briggs
info,player,Warwickshire,HJH Brookes
info,player,Warwickshire,OJ Hannon-Dalby
info,player,Hampshire,FS Middleton
info,player,Hampshire,NRT Gubbins
info,player,Hampshire,TJ Prest
info,player,Hampshire,BC Brown
info,player,Hampshire,JJ Weatherley
info,player,Hampshire,AHT Donald
info,player,Hampshire,LA Dawson
info,player,Hampshire,IG Holland
info,player,Hampshire,KHD Barker
info,player,Hampshire,MS Crane
info,player,Hampshire,BTJ Wheal
info,registry,people,AHT Donald,72918338
info,registry,people,BC Brown,8af86756
info,registry,people,BTJ Wheal,3f61a062
info,registry,people,DR Briggs,f3abd0c9
info,registry,people,EA Brookes,6ce9f3eb
info,registry,people,EG Barnard,a510bdd3
info,registry,people,FS Middleton,8492a4de
info,registry,people,HJH Brookes,2085e1fa
info,registry,people,IG Holland,4167f30b
info,registry,people,JB Lintott,e5218454
info,registry,people,JG Bethell,3c55c703
info,registry,people,JJ Weatherley,a05d0552
info,registry,people,KHD Barker,2223b920
info,registry,people,LA Dawson,4a461c24
info,registry,people,MGK Burgess,715941c3
info,registry,people,MS Crane,f0a0204e
info,registry,people,NRT Gubbins,c1a89821
info,registry,people,OJ Hannon-Dalby,e0ac7144
info,registry,people,RM Yates,3581a798
info,registry,people,SG Hinks,0bb4dc0d
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,SR Hain,67b9536c
info,registry,people,TJ Prest,0207ff32
info,registry,people,Tom Lungley,75169b8c
info,registry,people,WMH Rhodes,f54dbda7
