version,2.3.0
info,balls_per_over,6
info,team,Gloucestershire
info,team,Sussex
info,team_type,club
info,gender,male
info,season,2023
info,date,2023/06/22
info,event,Vitality Blast
info,match_id,1347668
info,match_type,T20
info,overs,20
info,venue,"County Ground, Bristol"
info,city,Bristol
info,toss_winner,Sussex
info,toss_decision,field
info,umpire,M Burns
info,umpire,RK Illingworth
info,match_referee,Wayne Noon
info,target_overs,2,20
info,target_runs,2,141
info,winner,Sussex
info,winner_wickets,7
info,player,Gloucestershire,Miles Hammond
info,player,Gloucestershire,G Roelofsen
info,player,Gloucestershire,BG Charlesworth
info,player,Gloucestershire,BJJ Wells
info,player,Gloucestershire,OJ Price
info,player,Gloucestershire,Zafar Gohar
info,player,Gloucestershire,GL van Buuren
info,player,Gloucestershire,TJ Price
info,player,Gloucestershire,MD Taylor
info,player,Gloucestershire,DA Payne
info,player,Gloucestershire,TMJ Smith
info,player,Sussex,HD Ward
info,player,Sussex,TGR Clark
info,player,Sussex,OJ Carter
info,player,Sussex,RS Bopara
info,player,Sussex,Shadab Khan
info,player,Sussex,MGK Burgess
info,player,Sussex,JM Coles
info,player,Sussex,GHS Garton
info,player,Sussex,A Karvelas
info,player,Sussex,HT Crocombe
info,player,Sussex,BJ Currie
info,registry,people,A Karvelas,a5735bd3
info,registry,people,BG Charlesworth,ffdba4e2
info,registry,people,BJ Currie,2ecd844a
info,registry,people,BJJ Wells,ad9a3160
info,registry,people,DA Payne,6c79c098
info,registry,people,G Roelofsen,ac688e55
info,registry,people,GHS Garton,be869ccf
info,registry,people,GL van Buuren,ba377b40
info,registry,people,HD Ward,9f7932a7
info,registry,people,HT Crocombe,27fc5808
info,registry,people,JM Coles,9c643d7b
info,registry,people,M Burns,b3bd0666
info,registry,people,MD Taylor,01a95383
info,registry,people,MGK Burgess,715941c3
info,registry,people,Miles Hammond,c88bc84a
info,registry,people,OJ Carter,26db69e6
info,registry,people,OJ Price,dfc3f02d
info,registry,people,RK Illingworth,20672246
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,Shadab Khan,9de62878
info,registry,people,TGR Clark,ed8faea2
info,registry,people,TJ Price,269ff06e
info,registry,people,TMJ Smith,0a12e736
info,registry,people,Wayne Noon,736e1761
info,registry,people,Zafar Gohar,9fd3a210
