version,2.3.0
info,balls_per_over,6
info,team,Peshawar Zalmi
info,team,Lahore Qalandars
info,team_type,club
info,gender,male
info,season,2022/23
info,date,2023/03/17
info,event,Pakistan Super League
info,match_id,1354956
info,match_type,T20
info,overs,20
info,venue,"Gaddafi Stadium, Lahore"
info,city,Lahore
info,toss_winner,Peshawar Zalmi
info,toss_decision,bat
info,player_of_match,Mirza Baig
info,umpire,Ahsan Raza
info,umpire,MJ Saggers
info,reserve_umpire,Faisal Afridi
info,tv_umpire,Rashid Riaz
info,match_referee,RS Mahanama
info,target_overs,2,20
info,target_runs,2,172
info,winner,Lahore Qalandars
info,winner_wickets,4
info,player,Peshawar Zalmi,Saim Ayub
info,player,Peshawar Zalmi,Babar Azam
info,player,Peshawar Zalmi,Mohammad Haris
info,player,Peshawar Zalmi,T Kohler-Cadmore
info,player,Peshawar Zalmi,PBB Rajapaksa
info,player,Peshawar Zalmi,Aamer Jamal
info,player,Peshawar Zalmi,Haseebullah Khan
info,player,Peshawar Zalmi,Wahab Riaz
info,player,Peshawar Zalmi,Azmatullah Omarzai
info,player,Peshawar Zalmi,Mujeeb Ur Rahman
info,player,Peshawar Zalmi,Salman Irshad
info,player,Lahore Qalandars,Mirza Baig
info,player,Lahore Qalandars,Fakhar Zaman
info,player,Lahore Qalandars,Ahsan Hafeez
info,player,Lahore Qalandars,Abdullah Shafique
info,player,Lahore Qalandars,SW Billings
info,player,Lahore Qalandars,Sikandar Raza
info,player,Lahore Qalandars,D Wiese
info,player,Lahore Qalandars,Shaheen Shah Afridi
info,player,Lahore Qalandars,Rashid Khan
info,player,Lahore Qalandars,Haris Rauf
info,player,Lahore Qalandars,Zaman Khan
info,registry,people,Aamer Jamal,a8e54ef4
info,registry,people,Abdullah Shafique,fc2fffb5
info,registry,people,Ahsan Hafeez,86229495
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,Babar Azam,8a75e999
info,registry,people,D Wiese,aa8d28ae
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Haseebullah Khan,5691931a
info,registry,people,MJ Saggers,402d5937
info,registry,people,Mirza Baig,96ce6752
info,registry,people,Mohammad Haris,ff3f6fc1
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,RS Mahanama,57910393
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,SW Billings,c16d4035
info,registry,people,Saim Ayub,33609a8c
info,registry,people,Salman Irshad,30afc92b
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,Wahab Riaz,b3118300
info,registry,people,Zaman Khan,28392e11
