version,2.3.0
info,balls_per_over,5
info,team,Oval Invincibles
info,team,Trent Rockets
info,team_type,club
info,gender,female
info,season,2023
info,date,2023/08/21
info,event,The Hundred Women's Competition
info,match_id,1355600
info,match_type,T20
info,overs,20
info,match_number,29
info,venue,"Kennington Oval, London"
info,city,London
info,toss_winner,Oval Invincibles
info,toss_decision,bat
info,player_of_match,N de Klerk
info,umpire,AC Harris
info,umpire,S McLelland
info,reserve_umpire,F Richards
info,tv_umpire,NJ Llong
info,match_referee,H Pack
info,target_overs,2,20
info,target_runs,2,156
info,winner,Oval Invincibles
info,winner_runs,3
info,player,Oval Invincibles,L Winfield-Hill
info,player,Oval Invincibles,A Capsey
info,player,Oval Invincibles,SW Bates
info,player,Oval Invincibles,M Kapp
info,player,Oval Invincibles,PJ Scholfield
info,player,Oval Invincibles,N de Klerk
info,player,Oval Invincibles,CL Griffith
info,player,Oval Invincibles,MK Villiers
info,player,Oval Invincibles,R MacDonald-Gay
info,player,Oval Invincibles,E Gray
info,player,Oval Invincibles,Sophia Smale
info,player,Trent Rockets,L Lee
info,player,Trent Rockets,BF Smith
info,player,Trent Rockets,H Kaur
info,player,Trent Rockets,NR Sciver-Brunt
info,player,Trent Rockets,J Gardner
info,player,Trent Rockets,FC Wilson
info,player,Trent Rockets,ND Dattani
info,player,Trent Rockets,A King
info,player,Trent Rockets,A Stonehouse
info,player,Trent Rockets,KL Gordon
info,player,Trent Rockets,CM McCarthy
info,registry,people,A Capsey,910dd54e
info,registry,people,A King,83558266
info,registry,people,A Stonehouse,c9366237
info,registry,people,AC Harris,ef14c0ec
info,registry,people,BF Smith,c64b7c5b
info,registry,people,CL Griffith,85ce4231
info,registry,people,CM McCarthy,7ce7fb3c
info,registry,people,E Gray,58717de2
info,registry,people,F Richards,0313fec0
info,registry,people,FC Wilson,a28132bd
info,registry,people,H Kaur,53cd8da6
info,registry,people,H Pack,fed53c91
info,registry,people,J Gardner,184512d1
info,registry,people,KL Gordon,00823a96
info,registry,people,L Lee,7b01ce83
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,M Kapp,63e3b6b3
info,registry,people,MK Villiers,cd62f670
info,registry,people,N de Klerk,ea544967
info,registry,people,ND Dattani,13c19f32
info,registry,people,NJ Llong,573fb985
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,PJ Scholfield,588360ee
info,registry,people,R MacDonald-Gay,459a7b0a
info,registry,people,S McLelland,fcc653b8
info,registry,people,SW Bates,89bbc67a
info,registry,people,Sophia Smale,c296dba1
