version,2.3.0
info,balls_per_over,6
info,team,Jamaica Tallawahs
info,team,St Kitts and Nevis Patriots
info,team_type,club
info,gender,male
info,season,2023
info,date,2023/09/16
info,event,Caribbean Premier League
info,match_id,1369584
info,match_type,T20
info,overs,20
info,match_number,27
info,venue,"Providence Stadium, Guyana"
info,city,Providence
info,toss_winner,Jamaica Tallawahs
info,toss_decision,bat
info,player_of_match,SK Springer
info,umpire,GO Brathwaite
info,umpire,PA Gustard
info,reserve_umpire,Zahid Bassarath
info,tv_umpire,CM Tuckett
info,match_referee,M Ragoonath
info,target_overs,2,20
info,target_runs,2,179
info,winner,Jamaica Tallawahs
info,winner_runs,59
info,player,Jamaica Tallawahs,BA King
info,player,Jamaica Tallawahs,AD Hales
info,player,Jamaica Tallawahs,KSA McKenzie
info,player,Jamaica Tallawahs,SSJ Brooks
info,player,Jamaica Tallawahs,Imad Wasim
info,player,Jamaica Tallawahs,RA Reifer
info,player,Jamaica Tallawahs,SK Springer
info,player,Jamaica Tallawahs,FA Allen
info,player,Jamaica Tallawahs,CJ Green
info,player,Jamaica Tallawahs,NA Gordon
info,player,Jamaica Tallawahs,Mohammad Amir
info,player,St Kitts and Nevis Patriots,ADS Fletcher
info,player,St Kitts and Nevis Patriots,E Lewis
info,player,St Kitts and Nevis Patriots,WCF Smeed
info,player,St Kitts and Nevis Patriots,Y Cariah
info,player,St Kitts and Nevis Patriots,SE Rutherford
info,player,St Kitts and Nevis Patriots,C Bosch
info,player,St Kitts and Nevis Patriots,GF Linde
info,player,St Kitts and Nevis Patriots,BAC Howell
info,player,St Kitts and Nevis Patriots,SS Cottrell
info,player,St Kitts and Nevis Patriots,O Thomas
info,player,St Kitts and Nevis Patriots,AR Nedd
info,registry,people,AD Hales,92aeac25
info,registry,people,ADS Fletcher,1bae756b
info,registry,people,AR Nedd,92b7602a
info,registry,people,BA King,7fca84b7
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,C Bosch,172dff15
info,registry,people,CJ Green,19b9f399
info,registry,people,CM Tuckett,a67252f0
info,registry,people,E Lewis,0ebfb1ad
info,registry,people,FA Allen,b52ffbbd
info,registry,people,GF Linde,e5437608
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,J Blackwood,c3b93a03
info,registry,people,KSA McKenzie,2b8f219a
info,registry,people,M Ragoonath,6f596571
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,NA Gordon,59377a7f
info,registry,people,O Thomas,c6097d68
info,registry,people,PA Gustard,25bcf808
info,registry,people,RA Reifer,d7725664
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SK Springer,4175d211
info,registry,people,SS Cottrell,a1d053dd
info,registry,people,SSJ Brooks,977b841a
info,registry,people,WCF Smeed,4e18e961
info,registry,people,Y Cariah,78bb68d4
info,registry,people,Zahid Bassarath,ca6bf044
