version,2.3.0
info,balls_per_over,6
info,team,Jamaica Tallawahs
info,team,St Lucia Kings
info,team_type,club
info,gender,male
info,season,2023
info,date,2023/09/17
info,event,Caribbean Premier League
info,match_id,1369586
info,match_type,T20
info,overs,20
info,match_number,29
info,venue,"Providence Stadium, Guyana"
info,city,Providence
info,toss_winner,St Lucia Kings
info,toss_decision,field
info,player_of_match,AD Hales
info,umpire,CM Tuckett
info,umpire,PA Gustard
info,reserve_umpire,GO Brathwaite
info,tv_umpire,Zahid Bassarath
info,match_referee,M Ragoonath
info,target_overs,2,20
info,target_runs,2,202
info,winner,Jamaica Tallawahs
info,winner_runs,122
info,player,Jamaica Tallawahs,KSA McKenzie
info,player,Jamaica Tallawahs,AD Hales
info,player,Jamaica Tallawahs,SR Taylor
info,player,Jamaica Tallawahs,SSJ Brooks
info,player,Jamaica Tallawahs,Imad Wasim
info,player,Jamaica Tallawahs,FA Allen
info,player,Jamaica Tallawahs,RA Reifer
info,player,Jamaica Tallawahs,SK Springer
info,player,Jamaica Tallawahs,CJ Green
info,player,Jamaica Tallawahs,HR Walsh
info,player,Jamaica Tallawahs,Mohammad Amir
info,player,St Lucia Kings,LJA Julien
info,player,St Lucia Kings,RS Primus
info,player,St Lucia Kings,PBB Rajapaksa
info,player,St Lucia Kings,RL Chase
info,player,St Lucia Kings,SC Williams
info,player,St Lucia Kings,Sikandar Raza
info,player,St Lucia Kings,C Munro
info,player,St Lucia Kings,AS Joseph
info,player,St Lucia Kings,MW Forde
info,player,St Lucia Kings,M Clarke
info,player,St Lucia Kings,J Royal
info,registry,people,AD Hales,92aeac25
info,registry,people,AS Joseph,b0946605
info,registry,people,C Munro,af2c687b
info,registry,people,CJ Green,19b9f399
info,registry,people,CM Tuckett,a67252f0
info,registry,people,FA Allen,b52ffbbd
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,HR Walsh,1ac2a995
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,J Royal,44a18ad8
info,registry,people,KSA McKenzie,2b8f219a
info,registry,people,LJA Julien,2eccc4bf
info,registry,people,M Clarke,a4ff3629
info,registry,people,M Ragoonath,6f596571
info,registry,people,MW Forde,83d17bbc
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,PA Gustard,25bcf808
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,RA Reifer,d7725664
info,registry,people,RL Chase,3feda4fa
info,registry,people,RS Primus,6f4c73ce
info,registry,people,SC Williams,afe57f7a
info,registry,people,SK Springer,4175d211
info,registry,people,SR Taylor,a9231c3f
info,registry,people,SSJ Brooks,977b841a
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Zahid Bassarath,ca6bf044
