version,2.3.0
info,balls_per_over,6
info,team,Dambulla Aura
info,team,B-Love Kandy
info,team_type,club
info,gender,male
info,season,2023
info,date,2023/08/14
info,event,Lanka Premier League
info,match_id,1382896
info,match_type,T20
info,overs,20
info,match_number,19
info,venue,"R Premadasa Stadium, Colombo"
info,city,Colombo
info,toss_winner,B-Love Kandy
info,toss_decision,field
info,player_of_match,DM de Silva
info,umpire,Aleem Dar
info,umpire,RSA Palliyaguruge
info,reserve_umpire,REJ Martinesz
info,tv_umpire,RR Wimalasiri
info,match_referee,GF Labrooy
info,target_overs,2,20
info,target_runs,2,163
info,winner,Dambulla Aura
info,winner_runs,20
info,player,Dambulla Aura,WIA Fernando
info,player,Dambulla Aura,S Samarawickrama
info,player,Dambulla Aura,LEK Edirisinghe
info,player,Dambulla Aura,BR McDermott
info,player,Dambulla Aura,DM de Silva
info,player,Dambulla Aura,AI Ross
info,player,Dambulla Aura,H Kerr
info,player,Dambulla Aura,S Jayathilake
info,player,Dambulla Aura,PM Liyanagamage
info,player,Dambulla Aura,Shahnawaz Dhani
info,player,Dambulla Aura,MADI Hemantha
info,player,B-Love Kandy,Mohammad Haris
info,player,B-Love Kandy,Fakhar Zaman
info,player,B-Love Kandy,LD Chandimal
info,player,B-Love Kandy,PWH de Silva
info,player,B-Love Kandy,AD Mathews
info,player,B-Love Kandy,PC de Silva
info,player,B-Love Kandy,Asif Ali
info,player,B-Love Kandy,KNA Bandara
info,player,B-Love Kandy,I Udana
info,player,B-Love Kandy,Mujeeb Ur Rahman
info,player,B-Love Kandy,N Pradeep
info,registry,people,AD Mathews,896d78ad
info,registry,people,AI Ross,fb0d68b4
info,registry,people,Aleem Dar,f02778d1
info,registry,people,Asif Ali,0a4736eb
info,registry,people,BR McDermott,c41043e6
info,registry,people,DM de Silva,7d608e12
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,GF Labrooy,8e088dbc
info,registry,people,H Kerr,f422728b
info,registry,people,I Udana,ac5ae4af
info,registry,people,KNA Bandara,585dda5d
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,LEK Edirisinghe,d4410428
info,registry,people,MADI Hemantha,58431ca0
info,registry,people,Mohammad Haris,ff3f6fc1
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,N Pradeep,2af838ee
info,registry,people,PC de Silva,b40ee8a8
info,registry,people,PM Liyanagamage,3ee0050f
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,S Jayathilake,6ba6ca1f
info,registry,people,S Samarawickrama,9ab2914d
info,registry,people,Shahnawaz Dhani,7ccbb09f
info,registry,people,WIA Fernando,9550470d
