version,2.3.0
info,balls_per_over,6
info,team,Tasmania
info,team,New South Wales
info,team_type,club
info,gender,male
info,season,2023/24
info,date,2023/09/27
info,event,The Marsh Cup
info,match_id,1391804
info,match_type,ODM
info,overs,50
info,match_number,4
info,venue,"Junction Oval, Melbourne"
info,city,Melbourne
info,toss_winner,New South Wales
info,toss_decision,field
info,player_of_match,J Edwards
info,umpire,BC Treloar
info,umpire,PJ Gillespie
info,match_referee,RW Stratford
info,target_overs,2,50
info,target_runs,2,199
info,winner,New South Wales
info,winner_wickets,6
info,player,Tasmania,CP Jewell
info,player,Tasmania,J Weatherald
info,player,Tasmania,M Wright
info,player,Tasmania,JC Silk
info,player,Tasmania,BM Hope
info,player,Tasmania,BJ Webster
info,player,Tasmania,MJ Owen
info,player,Tasmania,PG Dooley
info,player,Tasmania,L Neil-Smith
info,player,Tasmania,RP Meredith
info,player,Tasmania,B Stanlake
info,player,New South Wales,J Edwards
info,player,New South Wales,DP Hughes
info,player,New South Wales,KR Patterson
info,player,New South Wales,MC Henriques
info,player,New South Wales,O Davies
info,player,New South Wales,M Gilkes
info,player,New South Wales,JJS Sangha
info,player,New South Wales,H Kerr
info,player,New South Wales,CJ Green
info,player,New South Wales,JM Bird
info,player,New South Wales,CP Tremain
info,registry,people,B Stanlake,6834d1f2
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,BJ Webster,56b93d46
info,registry,people,BM Hope,526a3073
info,registry,people,CJ Green,19b9f399
info,registry,people,CP Jewell,806c4e58
info,registry,people,CP Tremain,96824e68
info,registry,people,DP Hughes,f3982af9
info,registry,people,H Kerr,f422728b
info,registry,people,J Edwards,f787e0eb
info,registry,people,J Weatherald,edc7ddb6
info,registry,people,JC Silk,7a6dc294
info,registry,people,JJS Sangha,8e3cb0e9
info,registry,people,JM Bird,bc773eeb
info,registry,people,KR Patterson,e3bf8356
info,registry,people,L Neil-Smith,72075ec1
info,registry,people,M Gilkes,d85b0f8b
info,registry,people,M Wright,bd920a2c
info,registry,people,MC Henriques,32198ae0
info,registry,people,MJ Owen,f2c936d7
info,registry,people,O Davies,0ea54eca
info,registry,people,PG Dooley,5e3054d0
info,registry,people,PJ Gillespie,3e253a50
info,registry,people,RP Meredith,64775749
info,registry,people,RW Stratford,85489579
