version,2.3.0
info,balls_per_over,6
info,team,Otago
info,team,Auckland
info,team_type,club
info,gender,female
info,season,2023/24
info,date,2024/01/01
info,event,Women's Super Smash
info,match_id,1409515
info,match_type,T20
info,overs,20
info,match_number,10
info,venue,"Molyneux Park, Alexandra"
info,city,Alexandra
info,toss_winner,Otago
info,toss_decision,bat
info,player_of_match,ME Loe
info,umpire,DJ Walker
info,umpire,PJ Pasco
info,reserve_umpire,N Louw
info,tv_umpire,KS Jagannathan
info,match_referee,TL Anderson
info,target_overs,2,20
info,target_runs,2,152
info,winner,Otago
info,winner_runs,47
info,player,Otago,SW Bates
info,player,Otago,IR James
info,player,Otago,ON Gain
info,player,Otago,FC Leydon-Davis
info,player,Otago,PM Inglis
info,player,Otago,CG Blakely
info,player,Otago,LCN Smith
info,player,Otago,PJ Watkins
info,player,Otago,EJ Carson
info,player,Otago,EJ Black
info,player,Otago,ME Loe
info,player,Auckland,S Shahri
info,player,Auckland,AS Browning
info,player,Auckland,ML Green
info,player,Auckland,IC Gaze
info,player,Auckland,P Catton
info,player,Auckland,JO Penfold
info,player,Auckland,SE Bowden
info,player,Auckland,AT Hucker
info,player,Auckland,MM Penfold
info,player,Auckland,FC Jonas
info,player,Auckland,BG Illing
info,registry,people,AS Browning,c4c97b51
info,registry,people,AT Hucker,9b554bb9
info,registry,people,BG Illing,80a0cd77
info,registry,people,CG Blakely,8f999ed5
info,registry,people,DJ Walker,d4aea8ac
info,registry,people,EJ Black,2817e17a
info,registry,people,EJ Carson,7693851c
info,registry,people,FC Jonas,6df697a9
info,registry,people,FC Leydon-Davis,b91efad5
info,registry,people,IC Gaze,60c250bf
info,registry,people,IR James,57bdbc16
info,registry,people,JO Penfold,321ea9e8
info,registry,people,KS Jagannathan,9bc8dcec
info,registry,people,LCN Smith,340202b0
info,registry,people,ME Loe,37f93dc8
info,registry,people,ML Green,865eae1f
info,registry,people,MM Penfold,645b2a2f
info,registry,people,N Louw,465c4770
info,registry,people,ON Gain,67913804
info,registry,people,P Catton,22e8ba50
info,registry,people,PJ Pasco,fd92a10c
info,registry,people,PJ Watkins,a2d53c59
info,registry,people,PM Inglis,e4a71d18
info,registry,people,S Shahri,c28355cd
info,registry,people,SE Bowden,e2a71375
info,registry,people,SW Bates,89bbc67a
info,registry,people,TL Anderson,f52ddf8d
