version,2.3.0
info,balls_per_over,6
info,team,Northamptonshire
info,team,Middlesex
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/08/22
info,date,2024/08/23
info,date,2024/08/24
info,date,2024/08/25
info,event,County Championship
info,match_id,1410301
info,match_type,MDM
info,match_number,39
info,venue,"Merchant Taylors' School Ground, Northwood"
info,city,Northwood
info,toss_winner,Middlesex
info,toss_decision,field
info,umpire,Hassan Adnan
info,umpire,N Pratt
info,match_referee,DA Cosker
info,winner,Middlesex
info,winner_wickets,8
info,player,Northamptonshire,PP Shaw
info,player,Northamptonshire,EN Gay
info,player,Northamptonshire,R Vasconcelos
info,player,Northamptonshire,LA Procter
info,player,Northamptonshire,GA Bartlett
info,player,Northamptonshire,RI Keogh
info,player,Northamptonshire,LD McManus
info,player,Northamptonshire,J Broad
info,player,Northamptonshire,BW Sanderson
info,player,Northamptonshire,DJ Leech
info,player,Northamptonshire,YS Chahal
info,player,Middlesex,SD Robson
info,player,Middlesex,MD Stoneman
info,player,Middlesex,MDE Holden
info,player,Middlesex,JL du Plooy
info,player,Middlesex,SS Eskinazi
info,player,Middlesex,N Fernandes
info,player,Middlesex,JLB Davies
info,player,Middlesex,ER Bamber
info,player,Middlesex,TS Roland-Jones
info,player,Middlesex,TG Helm
info,player,Middlesex,HJH Brookes
info,registry,people,BW Sanderson,e871a7a1
info,registry,people,DA Cosker,aac9f784
info,registry,people,DJ Leech,2413a688
info,registry,people,EN Gay,aa710a58
info,registry,people,ER Bamber,948beb1f
info,registry,people,GA Bartlett,e2caec46
info,registry,people,HJH Brookes,2085e1fa
info,registry,people,Hassan Adnan,56ca7a8c
info,registry,people,J Broad,ec5160d7
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JLB Davies,76dc16d4
info,registry,people,LA Procter,07c8a2f4
info,registry,people,LD McManus,6feb46a4
info,registry,people,MD Stoneman,1b77f62b
info,registry,people,MDE Holden,d34a2268
info,registry,people,N Fernandes,01561e94
info,registry,people,N Pratt,01f65cd3
info,registry,people,PP Shaw,8b3e9c7c
info,registry,people,R Vasconcelos,efe3fcc5
info,registry,people,RI Keogh,e22d3b5c
info,registry,people,SD Robson,76cb1a7f
info,registry,people,SS Eskinazi,75cbed9b
info,registry,people,TG Helm,74a274cc
info,registry,people,TS Roland-Jones,6c6aca89
info,registry,people,YS Chahal,57ee1fde
