version,2.3.0
info,balls_per_over,6
info,team,Northern Diamonds
info,team,Central Sparks
info,team_type,club
info,gender,female
info,season,2024
info,date,2024/05/27
info,event,Charlotte Edwards Cup
info,match_id,1410519
info,match_type,T20
info,overs,20
info,match_number,12
info,venue,"Headingley, Leeds"
info,city,Leeds
info,toss_winner,Central Sparks
info,toss_decision,field
info,umpire,A Clark
info,umpire,S Widdup
info,match_referee,Phil Whitticase
info,target_overs,2,11
info,target_runs,2,81
info,winner,Central Sparks
info,winner_wickets,3
info,player,Northern Diamonds,L Winfield-Hill
info,player,Northern Diamonds,L Dobson
info,player,Northern Diamonds,HJ Armitage
info,player,Northern Diamonds,EA Burns
info,player,Northern Diamonds,BAM Heath
info,player,Northern Diamonds,SL Kalis
info,player,Northern Diamonds,EK Marlow
info,player,Northern Diamonds,K Fraser
info,player,Northern Diamonds,GE Hall
info,player,Northern Diamonds,KA Levick
info,player,Northern Diamonds,R Slater
info,player,Central Sparks,C Brewer
info,player,Central Sparks,AJ Freeborn
info,player,Central Sparks,D Perrin
info,player,Central Sparks,E Jones
info,player,Central Sparks,C Webb
info,player,Central Sparks,KL George
info,player,Central Sparks,C Pavely
info,player,Central Sparks,EL Arlott
info,player,Central Sparks,GK Davis
info,player,Central Sparks,G Potts
info,player,Central Sparks,HL Baker
info,registry,people,A Clark,8c73cd16
info,registry,people,AJ Freeborn,c6da6ebf
info,registry,people,BAM Heath,3b5a9438
info,registry,people,C Brewer,baf11c9a
info,registry,people,C Pavely,907e5f6c
info,registry,people,C Webb,1f4a8a2a
info,registry,people,D Perrin,bfa0fa33
info,registry,people,E Jones,971cb321
info,registry,people,EA Burns,2e0b6638
info,registry,people,EK Marlow,ac574559
info,registry,people,EL Arlott,78fd864b
info,registry,people,G Potts,e3a93585
info,registry,people,GE Hall,026135b1
info,registry,people,GK Davis,54719239
info,registry,people,HJ Armitage,f05167d2
info,registry,people,HL Baker,cefad9fd
info,registry,people,K Fraser,a0a65375
info,registry,people,KA Levick,8f30d191
info,registry,people,KL George,e69dbbef
info,registry,people,L Dobson,af4f5c77
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,R Slater,8a452195
info,registry,people,S Widdup,65bf2837
info,registry,people,SL Kalis,2b150c6b
