version,2.3.0
info,balls_per_over,6
info,team,Hampshire
info,team,Northamptonshire
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/07/26
info,event,One-Day Cup
info,match_id,1415087
info,match_type,ODM
info,overs,50
info,venue,"The Rose Bowl, Southampton"
info,city,Southampton
info,toss_winner,Northamptonshire
info,toss_decision,field
info,umpire,AY Harris
info,umpire,BJ Debenham
info,match_referee,JJ Swift
info,target_overs,2,50
info,target_runs,2,286
info,winner,Hampshire
info,winner_runs,71
info,player,Hampshire,FS Middleton
info,player,Hampshire,NRT Gubbins
info,player,Hampshire,TJ Prest
info,player,Hampshire,BC Brown
info,player,Hampshire,TE Albert
info,player,Hampshire,JR Eckland
info,player,Hampshire,FS Organ
info,player,Hampshire,EV Jack
info,player,Hampshire,KJ Abbott
info,player,Hampshire,BTJ Wheal
info,player,Hampshire,Mohammad Abbas
info,player,Northamptonshire,PP Shaw
info,player,Northamptonshire,EN Gay
info,player,Northamptonshire,R Vasconcelos
info,player,Northamptonshire,RI Keogh
info,player,Northamptonshire,SA Zaib
info,player,Northamptonshire,GA Bartlett
info,player,Northamptonshire,LD McManus
info,player,Northamptonshire,AH Miller
info,player,Northamptonshire,MG Finan
info,player,Northamptonshire,RA Weatherall
info,player,Northamptonshire,CJ White
info,registry,people,AH Miller,693af62a
info,registry,people,AY Harris,90d95b82
info,registry,people,BC Brown,8af86756
info,registry,people,BJ Debenham,524a3a82
info,registry,people,BTJ Wheal,3f61a062
info,registry,people,CJ White,5a74e559
info,registry,people,EN Gay,aa710a58
info,registry,people,EV Jack,52912da9
info,registry,people,FS Middleton,8492a4de
info,registry,people,FS Organ,819ae1ad
info,registry,people,GA Bartlett,e2caec46
info,registry,people,JJ Swift,78deed6e
info,registry,people,JR Eckland,6fecec77
info,registry,people,KJ Abbott,a9da7784
info,registry,people,LD McManus,6feb46a4
info,registry,people,MG Finan,8c9d3000
info,registry,people,Mohammad Abbas,a089f93f
info,registry,people,NRT Gubbins,c1a89821
info,registry,people,PP Shaw,8b3e9c7c
info,registry,people,R Vasconcelos,efe3fcc5
info,registry,people,RA Weatherall,acb94221
info,registry,people,RI Keogh,e22d3b5c
info,registry,people,SA Zaib,ab01e323
info,registry,people,TE Albert,a6c17509
info,registry,people,TJ Prest,0207ff32
