version,2.3.0
info,balls_per_over,6
info,team,Yorkshire
info,team,Sussex
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/07/31
info,event,One-Day Cup
info,match_id,1415106
info,match_type,ODM
info,overs,50
info,venue,York Cricket Club
info,city,York
info,toss_winner,Sussex
info,toss_decision,field
info,umpire,NA Mallender
info,umpire,SJ O'Shaughnessy
info,match_referee,IL Herbert
info,target_overs,2,50
info,target_runs,2,262
info,winner,Yorkshire
info,winner_runs,49
info,player,Yorkshire,W Luxton
info,player,Yorkshire,FJ Bean
info,player,Yorkshire,Shan Masood
info,player,Yorkshire,JH Wharton
info,player,Yorkshire,GCH Hill
info,player,Yorkshire,HG Duke
info,player,Yorkshire,ML Revis
info,player,Yorkshire,DM Bess
info,player,Yorkshire,BO Coad
info,player,Yorkshire,D Moriarty
info,player,Yorkshire,BM Cliff
info,player,Sussex,TGR Clark
info,player,Sussex,TJ Haines
info,player,Sussex,HP Rogers
info,player,Sussex,C Tear
info,player,Sussex,OJ Carter
info,player,Sussex,ZB Lion-Cachet
info,player,Sussex,D Ibrahim
info,player,Sussex,AM Foreman
info,player,Sussex,A Karvelas
info,player,Sussex,HT Crocombe
info,player,Sussex,JOI Campbell
info,registry,people,A Karvelas,a5735bd3
info,registry,people,AM Foreman,bf659c0f
info,registry,people,BM Cliff,3ebb940f
info,registry,people,BO Coad,a37b5c0a
info,registry,people,C Tear,7ffe4817
info,registry,people,D Ibrahim,457cab44
info,registry,people,D Moriarty,6ea2710f
info,registry,people,DM Bess,ad46c747
info,registry,people,FJ Bean,1e0d4dcb
info,registry,people,GCH Hill,214f6461
info,registry,people,HG Duke,443b47a6
info,registry,people,HP Rogers,489b9a32
info,registry,people,HT Crocombe,27fc5808
info,registry,people,IL Herbert,125f9f05
info,registry,people,JH Wharton,42a5c1c7
info,registry,people,JOI Campbell,56c80c90
info,registry,people,ML Revis,28217d89
info,registry,people,NA Mallender,3b5dfcd4
info,registry,people,OJ Carter,26db69e6
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,Shan Masood,6843a783
info,registry,people,TGR Clark,ed8faea2
info,registry,people,TJ Haines,bdadcca1
info,registry,people,W Luxton,c15fb753
info,registry,people,ZB Lion-Cachet,d99de998
