version,2.3.0
info,balls_per_over,6
info,team,Lancashire
info,team,Middlesex
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/08/08
info,event,One-Day Cup
info,match_id,1415128
info,match_type,ODM
info,overs,50
info,venue,"Old Trafford, Manchester"
info,city,Manchester
info,toss_winner,Lancashire
info,toss_decision,bat
info,umpire,JC Tredwell
info,umpire,N Pratt
info,match_referee,SJ Davis
info,target_overs,2,48
info,target_runs,2,233
info,winner,Middlesex
info,winner_wickets,5
info,method,D/L
info,player,Lancashire,GJ Bell
info,player,Lancashire,DK Fonseka
info,player,Lancashire,JJ Bohannon
info,player,Lancashire,R Flintoff
info,player,Lancashire,VR Iyer
info,player,Lancashire,CJ Green
info,player,Lancashire,GP Balderson
info,player,Lancashire,Harry Singh
info,player,Lancashire,TE Bailey
info,player,Lancashire,JA Boyden
info,player,Lancashire,JP Morley
info,player,Middlesex,JB Cracknell
info,player,Middlesex,N Fernandes
info,player,Middlesex,SD Robson
info,player,Middlesex,MK Andersson
info,player,Middlesex,MD Stoneman
info,player,Middlesex,JLB Davies
info,player,Middlesex,LBK Hollman
info,player,Middlesex,JM De Caires
info,player,Middlesex,HJH Brookes
info,player,Middlesex,ER Bamber
info,player,Middlesex,NB Cornwell
info,registry,people,CJ Green,19b9f399
info,registry,people,DK Fonseka,fedae8cc
info,registry,people,ER Bamber,948beb1f
info,registry,people,GJ Bell,3e7534f7
info,registry,people,GP Balderson,23dee937
info,registry,people,HJH Brookes,2085e1fa
info,registry,people,Harry Singh,fdd5ba1e
info,registry,people,JA Boyden,cbb0fe42
info,registry,people,JB Cracknell,dd6e32da
info,registry,people,JC Tredwell,49b6c09f
info,registry,people,JJ Bohannon,fd96de7c
info,registry,people,JLB Davies,76dc16d4
info,registry,people,JM De Caires,8cbcff3b
info,registry,people,JP Morley,7a8a0237
info,registry,people,LBK Hollman,bdc0670a
info,registry,people,MD Stoneman,1b77f62b
info,registry,people,MK Andersson,d26e0405
info,registry,people,N Fernandes,01561e94
info,registry,people,N Pratt,01f65cd3
info,registry,people,NB Cornwell,8f08313a
info,registry,people,R Flintoff,4fad64fd
info,registry,people,SD Robson,76cb1a7f
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,TE Bailey,b9877635
info,registry,people,VR Iyer,a24be938
