version,2.3.0
info,balls_per_over,6
info,team,Warwickshire
info,team,Yorkshire
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/08/11
info,event,One-Day Cup
info,match_id,1415143
info,match_type,ODM
info,overs,50
info,venue,Rugby School Ground
info,city,Rugby
info,toss_winner,Yorkshire
info,toss_decision,field
info,umpire,Hassan Adnan
info,umpire,Tom Lungley
info,match_referee,Wayne Noon
info,target_overs,2,50
info,target_runs,2,243
info,winner,Yorkshire
info,winner_wickets,6
info,player,Warwickshire,RM Yates
info,player,Warwickshire,EG Barnard
info,player,Warwickshire,WMH Rhodes
info,player,Warwickshire,Hamza Shaikh
info,player,Warwickshire,MGK Burgess
info,player,Warwickshire,CG Benjamin
info,player,Warwickshire,K Smith
info,player,Warwickshire,JB Lintott
info,player,Warwickshire,MG Booth
info,player,Warwickshire,TC Ali
info,player,Warwickshire,OJ Hannon-Dalby
info,player,Yorkshire,HG Duke
info,player,Yorkshire,YV Vagadia
info,player,Yorkshire,W Luxton
info,player,Yorkshire,FJ Bean
info,player,Yorkshire,JA Tattersall
info,player,Yorkshire,ML Revis
info,player,Yorkshire,DM Bess
info,player,Yorkshire,GCH Hill
info,player,Yorkshire,BO Coad
info,player,Yorkshire,BM Cliff
info,player,Yorkshire,D Moriarty
info,registry,people,BM Cliff,3ebb940f
info,registry,people,BO Coad,a37b5c0a
info,registry,people,CG Benjamin,95a15317
info,registry,people,D Moriarty,6ea2710f
info,registry,people,DM Bess,ad46c747
info,registry,people,EG Barnard,a510bdd3
info,registry,people,FJ Bean,1e0d4dcb
info,registry,people,GCH Hill,214f6461
info,registry,people,HG Duke,443b47a6
info,registry,people,Hamza Shaikh,1917d713
info,registry,people,Hassan Adnan,56ca7a8c
info,registry,people,JA Tattersall,793977d8
info,registry,people,JB Lintott,e5218454
info,registry,people,K Smith,ee6ebf47
info,registry,people,MG Booth,92205bc7
info,registry,people,MGK Burgess,715941c3
info,registry,people,ML Revis,28217d89
info,registry,people,OJ Hannon-Dalby,e0ac7144
info,registry,people,RM Yates,3581a798
info,registry,people,TC Ali,634749ad
info,registry,people,Tom Lungley,75169b8c
info,registry,people,W Luxton,c15fb753
info,registry,people,WMH Rhodes,f54dbda7
info,registry,people,Wayne Noon,736e1761
info,registry,people,YV Vagadia,56cf4da6
