version,2.3.0
info,balls_per_over,6
info,team,Barbados Royals
info,team,Trinbago Knight Riders
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/09/13
info,event,Caribbean Premier League
info,match_id,1428692
info,match_type,T20
info,overs,20
info,match_number,15
info,venue,"Kensington Oval, Bridgetown, Barbados"
info,city,Bridgetown
info,toss_winner,Trinbago Knight Riders
info,toss_decision,field
info,player_of_match,AJ Hosein
info,umpire,CM Tuckett
info,umpire,GO Brathwaite
info,reserve_umpire,Zahid Bassarath
info,tv_umpire,LS Reifer
info,match_referee,Reon King
info,target_overs,2,20
info,target_runs,2,157
info,winner,Trinbago Knight Riders
info,winner_wickets,2
info,player,Barbados Royals,Q de Kock
info,player,Barbados Royals,RRS Cornwall
info,player,Barbados Royals,A Athanaze
info,player,Barbados Royals,RA Clarke
info,player,Barbados Royals,JO Holder
info,player,Barbados Royals,R Powell
info,player,Barbados Royals,DA Miller
info,player,Barbados Royals,KA Maharaj
info,player,Barbados Royals,M Theekshana
info,player,Barbados Royals,Naveen-ul-Haq
info,player,Barbados Royals,OC McCoy
info,player,Trinbago Knight Riders,SP Narine
info,player,Trinbago Knight Riders,JJ Roy
info,player,Trinbago Knight Riders,SD Parris
info,player,Trinbago Knight Riders,N Pooran
info,player,Trinbago Knight Riders,KU Carty
info,player,Trinbago Knight Riders,KA Pollard
info,player,Trinbago Knight Riders,AGS Gous
info,player,Trinbago Knight Riders,AJ Hosein
info,player,Trinbago Knight Riders,T Hinds
info,player,Trinbago Knight Riders,JNT Seales
info,player,Trinbago Knight Riders,Waqar Salamkheil
info,registry,people,A Athanaze,58c2fac4
info,registry,people,AGS Gous,d1305df0
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,CM Tuckett,a67252f0
info,registry,people,DA Miller,d67d5f00
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,JNT Seales,ded9ff1e
info,registry,people,JO Holder,0f721006
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KA Pollard,a757b0d8
info,registry,people,KO Wickham,211aeb65
info,registry,people,KU Carty,6020a3c6
info,registry,people,LS Reifer,5dee559a
info,registry,people,M Theekshana,f24c6701
info,registry,people,N Pooran,3241e3fd
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,OC McCoy,529eb9e0
info,registry,people,Q de Kock,372455c4
info,registry,people,R Powell,650d5e49
info,registry,people,RA Clarke,de098678
info,registry,people,RRS Cornwall,c4d9634c
info,registry,people,Reon King,20fbf68c
info,registry,people,SD Parris,a63d0c5a
info,registry,people,SP Narine,9d430b40
info,registry,people,T Hinds,45a62071
info,registry,people,Waqar Salamkheil,3f1066d0
info,registry,people,Zahid Bassarath,ca6bf044
