version,2.3.0
info,balls_per_over,6
info,team,San Francisco Unicorns
info,team,Washington Freedom
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/07/25
info,event,Major League Cricket
info,match_id,1432748
info,match_type,T20
info,overs,20
info,venue,"Grand Prairie Stadium, Dallas"
info,city,Dallas
info,toss_winner,Washington Freedom
info,toss_decision,field
info,player_of_match,TM Head
info,umpire,GO Brathwaite
info,umpire,Vijaya Mallela
info,reserve_umpire,BV Taylor
info,tv_umpire,P Wilson
info,match_referee,SJA Taufel
info,target_overs,2,20
info,target_runs,2,146
info,winner,Washington Freedom
info,winner_wickets,7
info,player,San Francisco Unicorns,FH Allen
info,player,San Francisco Unicorns,J Fraser-McGurk
info,player,San Francisco Unicorns,SP Krishnamurthi
info,player,San Francisco Unicorns,JP Inglis
info,player,San Francisco Unicorns,SE Rutherford
info,player,San Francisco Unicorns,Hassan Khan
info,player,San Francisco Unicorns,CJ Anderson
info,player,San Francisco Unicorns,PJ Cummins
info,player,San Francisco Unicorns,Haris Rauf
info,player,San Francisco Unicorns,C le Roux
info,player,San Francisco Unicorns,J Drysdale
info,player,Washington Freedom,TM Head
info,player,Washington Freedom,SPD Smith
info,player,Washington Freedom,AGS Gous
info,player,Washington Freedom,R Ravindra
info,player,Washington Freedom,GJ Maxwell
info,player,Washington Freedom,Mukhtar Ahmed
info,player,Washington Freedom,AJ Pienaar
info,player,Washington Freedom,M Jansen
info,player,Washington Freedom,SN Netravalkar
info,player,Washington Freedom,IG Holland
info,player,Washington Freedom,LH Ferguson
info,registry,people,AGS Gous,d1305df0
info,registry,people,AJ Pienaar,647a48da
info,registry,people,BV Taylor,99760152
info,registry,people,C le Roux,7a490dec
info,registry,people,CJ Anderson,8abdf100
info,registry,people,FH Allen,bf74b130
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Hassan Khan,486065b3
info,registry,people,IG Holland,4167f30b
info,registry,people,J Drysdale,23f94c02
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JP Inglis,989889ff
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,M Jansen,81c36ee9
info,registry,people,Mukhtar Ahmed,456f6d99
info,registry,people,P Wilson,68304a36
info,registry,people,PJ Cummins,ded9240e
info,registry,people,R Ravindra,ba5e1069
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SJA Taufel,4b43d5ac
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,SP Krishnamurthi,3b8e7647
info,registry,people,SPD Smith,30a45b23
info,registry,people,TM Head,12b610c2
info,registry,people,Vijaya Mallela,85b6244a
