version,2.3.0
info,balls_per_over,6
info,team,Panadura Sports Club
info,team,Kurunegala Youth Cricket Club
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/05/12
info,event,Major Clubs T20 Tournament
info,match_id,1432956
info,match_type,T20
info,overs,20
info,venue,"Army Ground, Panagoda"
info,city,Panagoda
info,toss_winner,Kurunegala Youth Cricket Club
info,toss_decision,field
info,umpire,Keerthi Bandara
info,umpire,RR Wimalasiri
info,reserve_umpire,V Prasad
info,match_referee,M Jayasena
info,outcome,no result
info,player,Panadura Sports Club,HM Kapurubandara
info,player,Panadura Sports Club,Kanchana de Livera
info,player,Panadura Sports Club,VS Halambage
info,player,Panadura Sports Club,R Nimantha
info,player,Panadura Sports Club,L Dawatage
info,player,Panadura Sports Club,N Vimukthi
info,player,Panadura Sports Club,V Lahiru
info,player,Panadura Sports Club,MI Slaza
info,player,Panadura Sports Club,Y Avishka
info,player,Panadura Sports Club,KGA Sampath
info,player,Panadura Sports Club,JS Fernando
info,player,Kurunegala Youth Cricket Club,BMRNB Ratnayake
info,player,Kurunegala Youth Cricket Club,Hasith Perera
info,player,Kurunegala Youth Cricket Club,G Kotuwegoda
info,player,Kurunegala Youth Cricket Club,G Weerasinghe
info,player,Kurunegala Youth Cricket Club,SA Nanayakkara
info,player,Kurunegala Youth Cricket Club,PHT Kaushal
info,player,Kurunegala Youth Cricket Club,JRMVB Sanjaya
info,player,Kurunegala Youth Cricket Club,KBAK Basnayake
info,player,Kurunegala Youth Cricket Club,HGK Dilshan
info,player,Kurunegala Youth Cricket Club,EMKB Ekanayake
info,player,Kurunegala Youth Cricket Club,A Premaratne
info,registry,people,A Premaratne,5584885b
info,registry,people,BMRNB Ratnayake,dbecbbc8
info,registry,people,EMKB Ekanayake,60e5dc97
info,registry,people,G Kotuwegoda,5a802426
info,registry,people,G Weerasinghe,77f60c02
info,registry,people,HGK Dilshan,519a99ad
info,registry,people,HM Kapurubandara,64c88fab
info,registry,people,Hasith Perera,684e115c
info,registry,people,JRMVB Sanjaya,530b20e3
info,registry,people,JS Fernando,64cf3a2d
info,registry,people,KBAK Basnayake,212b6afa
info,registry,people,KGA Sampath,014196ed
info,registry,people,Kanchana de Livera,05464bcd
info,registry,people,Keerthi Bandara,8e856a81
info,registry,people,L Dawatage,75e72109
info,registry,people,M Jayasena,fa87f32f
info,registry,people,MI Slaza,df6e41bc
info,registry,people,N Vimukthi,b215a7be
info,registry,people,PHT Kaushal,ef6aea67
info,registry,people,R Nimantha,f8d4f714
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,SA Nanayakkara,096e4b45
info,registry,people,V Lahiru,26cd5968
info,registry,people,V Prasad,6ea27248
info,registry,people,VS Halambage,9531d48f
info,registry,people,Y Avishka,c226b4b6
