version,2.3.0
info,balls_per_over,6
info,team,Kurunegala Youth Cricket Club
info,team,Colts Cricket Club
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/05/16
info,event,Major Clubs T20 Tournament
info,match_id,1432972
info,match_type,T20
info,overs,20
info,venue,"Nondescripts Cricket Club Ground, Colombo"
info,city,Colombo
info,toss_winner,Colts Cricket Club
info,toss_decision,field
info,umpire,RP Massalage
info,umpire,RR Wimalasiri
info,reserve_umpire,V Prasad
info,match_referee,OAP Udayaratne
info,target_overs,2,19
info,target_runs,2,90
info,winner,Colts Cricket Club
info,winner_wickets,6
info,player,Kurunegala Youth Cricket Club,G Kotuwegoda
info,player,Kurunegala Youth Cricket Club,Hasith Perera
info,player,Kurunegala Youth Cricket Club,BMRNB Ratnayake
info,player,Kurunegala Youth Cricket Club,G Weerasinghe
info,player,Kurunegala Youth Cricket Club,SA Nanayakkara
info,player,Kurunegala Youth Cricket Club,KBAK Basnayake
info,player,Kurunegala Youth Cricket Club,PHT Kaushal
info,player,Kurunegala Youth Cricket Club,JRMVB Sanjaya
info,player,Kurunegala Youth Cricket Club,HGK Dilshan
info,player,Kurunegala Youth Cricket Club,A Premaratne
info,player,Kurunegala Youth Cricket Club,EMKB Ekanayake
info,player,Colts Cricket Club,S de Mel
info,player,Colts Cricket Club,LD Chandimal
info,player,Colts Cricket Club,Yashodha Lanka
info,player,Colts Cricket Club,D Lakshan
info,player,Colts Cricket Club,R Rasantha
info,player,Colts Cricket Club,WRKS Darshika
info,player,Colts Cricket Club,A Dananjaya
info,player,Colts Cricket Club,M Lakshan
info,player,Colts Cricket Club,Y Rodrigo
info,player,Colts Cricket Club,WPU Madushan
info,player,Colts Cricket Club,UA Morais
info,registry,people,A Dananjaya,5b16a806
info,registry,people,A Premaratne,5584885b
info,registry,people,BMRNB Ratnayake,dbecbbc8
info,registry,people,D Lakshan,0a2184d9
info,registry,people,EMKB Ekanayake,60e5dc97
info,registry,people,G Kotuwegoda,5a802426
info,registry,people,G Weerasinghe,77f60c02
info,registry,people,HGK Dilshan,519a99ad
info,registry,people,Hasith Perera,684e115c
info,registry,people,JRMVB Sanjaya,530b20e3
info,registry,people,KBAK Basnayake,212b6afa
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,M Lakshan,aa844d38
info,registry,people,OAP Udayaratne,51a932c9
info,registry,people,PHT Kaushal,ef6aea67
info,registry,people,R Rasantha,fb12d010
info,registry,people,RP Massalage,6ffbe2e2
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,S de Mel,90a7d966
info,registry,people,SA Nanayakkara,096e4b45
info,registry,people,UA Morais,192c4855
info,registry,people,V Prasad,6ea27248
info,registry,people,WPU Madushan,dc67ba03
info,registry,people,WRKS Darshika,268af93b
info,registry,people,Y Rodrigo,f8511ad1
info,registry,people,Yashodha Lanka,600dce49
