version,2.3.0
info,balls_per_over,6
info,team,Negombo Cricket Club
info,team,Ace Capital Cricket Club
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/06/10
info,event,Major Clubs Limited Over Tournament
info,match_id,1437227
info,match_type,ODM
info,overs,50
info,venue,Sri Lanka Army Ordnance Corps International Cricket Stadium
info,city,Kaluthara
info,toss_winner,Negombo Cricket Club
info,toss_decision,bat
info,umpire,Ranganath Prasanna
info,umpire,BSP Fernando
info,match_referee,SM Faumi
info,target_overs,2,33.3
info,target_runs,2,84
info,winner,Ace Capital Cricket Club
info,winner_runs,22
info,method,D/L
info,player,Negombo Cricket Club,EMDY Munaweera
info,player,Negombo Cricket Club,K Wanniarachchi
info,player,Negombo Cricket Club,GWR Lakmal
info,player,Negombo Cricket Club,HS Liyanage
info,player,Negombo Cricket Club,MS Warnapura
info,player,Negombo Cricket Club,TAM Siriwardana
info,player,Negombo Cricket Club,U Lakshan
info,player,Negombo Cricket Club,KN Peiris
info,player,Negombo Cricket Club,PSU Fernando
info,player,Negombo Cricket Club,P Ushettige
info,player,Negombo Cricket Club,WRC Fernando
info,player,Ace Capital Cricket Club,S Gimhan
info,player,Ace Capital Cricket Club,PTM Dabare
info,player,Ace Capital Cricket Club,MPM Weerasinghe
info,player,Ace Capital Cricket Club,Sammu Ashan
info,player,Ace Capital Cricket Club,S Liyanage
info,player,Ace Capital Cricket Club,R de Silva
info,player,Ace Capital Cricket Club,RMRDG Rathnayake
info,player,Ace Capital Cricket Club,W Sahan
info,player,Ace Capital Cricket Club,NH Atharagalla
info,player,Ace Capital Cricket Club,RJKTD Ranatunga
info,player,Ace Capital Cricket Club,D Hemananda
info,registry,people,BSP Fernando,8a49883f
info,registry,people,D Hemananda,92189c3e
info,registry,people,EMDY Munaweera,5a22d91c
info,registry,people,GWR Lakmal,1514a0dd
info,registry,people,HS Liyanage,8505bd55
info,registry,people,K Wanniarachchi,03244b87
info,registry,people,KN Peiris,d0cc2738
info,registry,people,MPM Weerasinghe,39571f64
info,registry,people,MS Warnapura,f2626fc9
info,registry,people,NH Atharagalla,5250b33c
info,registry,people,P Ushettige,afd3365a
info,registry,people,PSU Fernando,dd43dd57
info,registry,people,PTM Dabare,a97fbc2c
info,registry,people,R de Silva,0d6ab15a
info,registry,people,RJKTD Ranatunga,dadb0634
info,registry,people,RMRDG Rathnayake,f73c0c37
info,registry,people,Ranganath Prasanna,9fc85271
info,registry,people,S Gimhan,81acb5f5
info,registry,people,S Liyanage,b47a39f9
info,registry,people,SM Faumi,be5bf288
info,registry,people,Sammu Ashan,981b9303
info,registry,people,TAM Siriwardana,bf7842c9
info,registry,people,U Lakshan,bc0554d7
info,registry,people,W Sahan,d86d276e
info,registry,people,WRC Fernando,d58358e9
