version,2.3.0
info,balls_per_over,6
info,team,Sinhalese Sports Club
info,team,Ace Capital Cricket Club
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/06/13
info,event,Major Clubs Limited Over Tournament
info,match_id,1437235
info,match_type,ODM
info,overs,50
info,venue,Sri Lanka Army Ordnance Corps International Cricket Stadium
info,city,Kaluthara
info,toss_winner,Sinhalese Sports Club
info,toss_decision,bat
info,umpire,RA Kottahachchi
info,umpire,V Prasad
info,match_referee,WMJK de Silva
info,target_overs,2,50
info,target_runs,2,158
info,winner,Ace Capital Cricket Club
info,winner_wickets,5
info,player,Sinhalese Sports Club,WIA Fernando
info,player,Sinhalese Sports Club,S Daniel
info,player,Sinhalese Sports Club,Krishan Sanjula
info,player,Sinhalese Sports Club,FDM Karunaratne
info,player,Sinhalese Sports Club,ND Perera
info,player,Sinhalese Sports Club,MNK Fernando
info,player,Sinhalese Sports Club,R Somarathne
info,player,Sinhalese Sports Club,MALR Manasinghe
info,player,Sinhalese Sports Club,NT Gamage
info,player,Sinhalese Sports Club,PM Liyanagamage
info,player,Sinhalese Sports Club,G Balasooriya
info,player,Ace Capital Cricket Club,S Gimhan
info,player,Ace Capital Cricket Club,PTM Dabare
info,player,Ace Capital Cricket Club,MPM Weerasinghe
info,player,Ace Capital Cricket Club,K Amantha
info,player,Ace Capital Cricket Club,S Liyanage
info,player,Ace Capital Cricket Club,Sammu Ashan
info,player,Ace Capital Cricket Club,R de Silva
info,player,Ace Capital Cricket Club,W Sahan
info,player,Ace Capital Cricket Club,NH Atharagalla
info,player,Ace Capital Cricket Club,RMRDG Rathnayake
info,player,Ace Capital Cricket Club,RJKTD Ranatunga
info,registry,people,FDM Karunaratne,400e2d4d
info,registry,people,G Balasooriya,f3ded80f
info,registry,people,K Amantha,792a3d5a
info,registry,people,Krishan Sanjula,ea11cb97
info,registry,people,MALR Manasinghe,e8d697ad
info,registry,people,MNK Fernando,ba603555
info,registry,people,MPM Weerasinghe,39571f64
info,registry,people,ND Perera,f7928e6a
info,registry,people,NH Atharagalla,5250b33c
info,registry,people,NT Gamage,f66b8839
info,registry,people,PM Liyanagamage,3ee0050f
info,registry,people,PTM Dabare,a97fbc2c
info,registry,people,R Somarathne,fd0d8fc7
info,registry,people,R de Silva,0d6ab15a
info,registry,people,RA Kottahachchi,808f2939
info,registry,people,RJKTD Ranatunga,dadb0634
info,registry,people,RMRDG Rathnayake,f73c0c37
info,registry,people,S Daniel,a38e7be7
info,registry,people,S Gimhan,81acb5f5
info,registry,people,S Liyanage,b47a39f9
info,registry,people,Sammu Ashan,981b9303
info,registry,people,V Prasad,6ea27248
info,registry,people,W Sahan,d86d276e
info,registry,people,WIA Fernando,9550470d
info,registry,people,WMJK de Silva,1a73c50e
