version,2.3.0
info,balls_per_over,6
info,team,Tamil Union Cricket and Athletic Club
info,team,Ragama Cricket Club
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/08/05
info,event,Major Clubs Limited Over Tournament
info,match_id,1437294
info,match_type,ODM
info,overs,50
info,venue,"P Sara Oval, Colombo"
info,city,Colombo
info,toss_winner,Tamil Union Cricket and Athletic Club
info,toss_decision,bat
info,umpire,Keerthi Bandara
info,umpire,R Dulsiri
info,match_referee,GLS de Silva
info,target_overs,2,50
info,target_runs,2,205
info,winner,Ragama Cricket Club
info,winner_wickets,6
info,player,Tamil Union Cricket and Athletic Club,DS Weerakkody
info,player,Tamil Union Cricket and Athletic Club,S Galagoda
info,player,Tamil Union Cricket and Athletic Club,S Hapuhinna
info,player,Tamil Union Cricket and Athletic Club,Mohamed Shamaz
info,player,Tamil Union Cricket and Athletic Club,D Manchanayake
info,player,Tamil Union Cricket and Athletic Club,A Siriwardhana
info,player,Tamil Union Cricket and Athletic Club,SMLD Samarakoon
info,player,Tamil Union Cricket and Athletic Club,STS Senarathne
info,player,Tamil Union Cricket and Athletic Club,KTH Ratnayake
info,player,Tamil Union Cricket and Athletic Club,M Wickramage
info,player,Tamil Union Cricket and Athletic Club,D Samuditha
info,player,Ragama Cricket Club,G Senhas
info,player,Ragama Cricket Club,KI Fernando
info,player,Ragama Cricket Club,GSM Fernando
info,player,Ragama Cricket Club,S Gunathilaka
info,player,Ragama Cricket Club,C Gomez
info,player,Ragama Cricket Club,R Jayasena
info,player,Ragama Cricket Club,LN Malinga
info,player,Ragama Cricket Club,SMKS Senarathne
info,player,Ragama Cricket Club,PWS Dulshan
info,player,Ragama Cricket Club,HGKD Dhanushka
info,player,Ragama Cricket Club,D Bandara
info,registry,people,A Siriwardhana,b4f72cc6
info,registry,people,C Gomez,a6a42dd2
info,registry,people,D Bandara,29f29a54
info,registry,people,D Manchanayake,b8ef67a0
info,registry,people,D Samuditha,4770fcd4
info,registry,people,DS Weerakkody,3473e5f2
info,registry,people,G Senhas,b146b897
info,registry,people,GLS de Silva,9eda8cca
info,registry,people,GSM Fernando,bbeb5b15
info,registry,people,HGKD Dhanushka,dc46d46b
info,registry,people,KI Fernando,098753fe
info,registry,people,KTH Ratnayake,4eb02f2e
info,registry,people,Keerthi Bandara,8e856a81
info,registry,people,LN Malinga,79eb117d
info,registry,people,M Wickramage,0139ece0
info,registry,people,Mohamed Shamaz,93b6157d
info,registry,people,PWS Dulshan,cd63866f
info,registry,people,R Dulsiri,a7d3d23c
info,registry,people,R Jayasena,795ad3dc
info,registry,people,S Galagoda,4c1884fe
info,registry,people,S Gunathilaka,f388129b
info,registry,people,S Hapuhinna,60a9ffb4
info,registry,people,SMKS Senarathne,19908ab9
info,registry,people,SMLD Samarakoon,d28f4d1c
info,registry,people,STS Senarathne,cbafbb70
