version,2.3.0
info,balls_per_over,6
info,team,Bahrain
info,team,Hong Kong
info,team_type,international
info,gender,male
info,season,2024/25
info,date,2024/11/07
info,event,CWC Challenge League
info,match_id,1451894
info,match_type,ODM
info,overs,50
info,match_number,2
info,venue,"Lugogo Cricket Oval, Kampala"
info,city,Kampala
info,toss_winner,Bahrain
info,toss_decision,bat
info,player_of_match,Babar Hayat
info,umpire,Ahmed Shah Pakteen
info,umpire,F Mutizwa
info,reserve_umpire,Faisal Afridi
info,match_referee,S Wadvalla
info,target_overs,2,46
info,target_runs,2,201
info,winner,Hong Kong
info,winner_wickets,3
info,method,D/L
info,player,Bahrain,Umer Imtiaz
info,player,Bahrain,Asif Ali
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Haider Butt
info,player,Bahrain,Sachin Kumar
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Shahbaz Badar
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Ali Dawood
info,player,Bahrain,Abdul Majid Abbasi
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Anas Khan
info,player,Hong Kong,Ateeq Iqbal
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmed Shah Pakteen,43602937
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Ali Dawood,596982e6
info,registry,people,Anas Khan,66a7f213
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Asif Ali,0a4736eb
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,M Coetzee,3f149080
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,Sachin Kumar,b76b2d25
info,registry,people,Shahbaz Badar,23eedcd3
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Umer Imtiaz,7b729851
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
