version,2.3.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Singapore
info,team_type,international
info,gender,male
info,season,2024/25
info,date,2024/11/15
info,event,CWC Challenge League
info,match_id,1451905
info,match_type,ODM
info,overs,50
info,match_number,13
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Hong Kong
info,toss_decision,bat
info,player_of_match,Yasim Murtaza
info,umpire,Ahmed Shah Pakteen
info,umpire,Faisal Afridi
info,reserve_umpire,Patric Makumbi
info,match_referee,S Wadvalla
info,target_overs,2,29
info,target_runs,2,147
info,winner,Hong Kong
info,winner_runs,57
info,method,D/L
info,player,Hong Kong,S Mathur
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Anas Khan
info,player,Hong Kong,Ateeq Iqbal
info,player,Hong Kong,A Shukla
info,player,Singapore,Aritra Dutta
info,player,Singapore,R Rohan
info,player,Singapore,RR Naik
info,player,Singapore,Aman Desai
info,player,Singapore,Manpreet Singh
info,player,Singapore,A Kaul
info,player,Singapore,R Gaznavi
info,player,Singapore,AR Puri
info,player,Singapore,H Bharadwaj
info,player,Singapore,AAhan Achar
info,player,Singapore,PSRK Sudarshan
info,registry,people,A Kaul,53d0b0dc
info,registry,people,A Shukla,a1e80d06
info,registry,people,AAhan Achar,797f52cc
info,registry,people,AR Puri,1f490b28
info,registry,people,Ahmed Shah Pakteen,43602937
info,registry,people,Aman Desai,c10fd8f9
info,registry,people,Anas Khan,66a7f213
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Aritra Dutta,f3a5c378
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,H Bharadwaj,2e89652e
info,registry,people,M Coetzee,3f149080
info,registry,people,Manpreet Singh,e9d6a2ce
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,PSRK Sudarshan,3a44a4e4
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Gaznavi,0079f139
info,registry,people,R Rohan,baf0fc26
info,registry,people,RR Naik,f456ad17
info,registry,people,S Mathur,11378dda
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
