version,2.3.0
info,balls_per_over,6
info,team,Chittagong Kings
info,team,Sylhet Strikers
info,team_type,club
info,gender,male
info,season,2024/25
info,date,2025/01/13
info,event,Bangladesh Premier League
info,match_id,1459555
info,match_type,T20
info,overs,20
info,match_number,19
info,venue,Sylhet International Cricket Stadium
info,city,Sylhet
info,toss_winner,Sylhet Strikers
info,toss_decision,field
info,player_of_match,G Clark
info,umpire,Ali Arman
info,umpire,Asif Yaqoob
info,reserve_umpire,Shafeen Shareef
info,tv_umpire,Morshed Ali Khan
info,match_referee,Neeyamur Rashid
info,target_overs,2,20
info,target_runs,2,204
info,winner,Chittagong Kings
info,winner_runs,30
info,player,Chittagong Kings,Usman Khan
info,player,Chittagong Kings,Parvez Hossain Emon
info,player,Chittagong Kings,G Clark
info,player,Chittagong Kings,Mohammad Mithun
info,player,Chittagong Kings,Haider Ali
info,player,Chittagong Kings,Shamim Hossain
info,player,Chittagong Kings,Mohammad Wasim
info,player,Chittagong Kings,Shoriful Islam
info,player,Chittagong Kings,Khaled Ahmed
info,player,Chittagong Kings,Al Islam
info,player,Chittagong Kings,Nabil Samad
info,player,Sylhet Strikers,Rony Talukdar
info,player,Sylhet Strikers,PR Stirling
info,player,Sylhet Strikers,Zakir Hasan
info,player,Sylhet Strikers,HG Munsey
info,player,Sylhet Strikers,Aaron Jones
info,player,Sylhet Strikers,Jaker Ali
info,player,Sylhet Strikers,Ariful Haque
info,player,Sylhet Strikers,Tanzim Hasan Sakib
info,player,Sylhet Strikers,Nahidul Islam
info,player,Sylhet Strikers,Nihaduzzaman
info,player,Sylhet Strikers,Ruyel Miah
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,Al Islam,45d38a84
info,registry,people,Ali Arman,1342d8d8
info,registry,people,Ariful Haque,ad1730bc
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,G Clark,4fd09cfc
info,registry,people,HG Munsey,ff014c34
info,registry,people,Haider Ali,c13e34f4
info,registry,people,Jaker Ali,cd56a813
info,registry,people,Khaled Ahmed,5dbdecf1
info,registry,people,Mohammad Mithun,77191792
info,registry,people,Mohammad Wasim,9e9af5f2
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,Nabil Samad,b8d18afc
info,registry,people,Nahidul Islam,8c7b16c8
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,Nihaduzzaman,eca6dcb2
info,registry,people,PR Stirling,cf494ffe
info,registry,people,Parvez Hossain Emon,489aaf0a
info,registry,people,Rony Talukdar,8bd614b2
info,registry,people,Ruyel Miah,fa41edde
info,registry,people,Shafeen Shareef,bd616323
info,registry,people,Shamim Hossain,711249d1
info,registry,people,Shoriful Islam,bb34fd31
info,registry,people,Tanzim Hasan Sakib,0b0cc297
info,registry,people,Usman Khan,bafb9238
info,registry,people,Zakir Hasan,e3e09091
