version,2.3.0
info,balls_per_over,6
info,team,Hampshire
info,team,Sussex
info,team_type,club
info,gender,male
info,season,2025
info,date,2025/07/05
info,event,Vitality Blast Men
info,match_id,1460833
info,match_type,T20
info,overs,20
info,venue,"County Ground, Hove"
info,city,Brighton
info,toss_winner,Sussex
info,toss_decision,field
info,player_of_match,BAC Howell
info,umpire,ID Blackwell
info,umpire,Mark Newell
info,tv_umpire,NL Bainton
info,match_referee,SJ Davis
info,target_overs,2,20
info,target_runs,2,197
info,winner,Hampshire
info,winner_runs,62
info,player,Hampshire,JM Vince
info,player,Hampshire,CA Lynn
info,player,Hampshire,TE Albert
info,player,Hampshire,JJ Weatherley
info,player,Hampshire,HWR Cartwright
info,player,Hampshire,JK Fuller
info,player,Hampshire,BAC Howell
info,player,Hampshire,LA Dawson
info,player,Hampshire,CP Wood
info,player,Hampshire,SW Currie
info,player,Hampshire,S Baker
info,player,Sussex,HD Ward
info,player,Sussex,DP Hughes
info,player,Sussex,TGR Clark
info,player,Sussex,JM Coles
info,player,Sussex,JA Simpson
info,player,Sussex,FJ Hudson-Prentice
info,player,Sussex,DJ Lamb
info,player,Sussex,N McAndrew
info,player,Sussex,OE Robinson
info,player,Sussex,TS Mills
info,player,Sussex,HT Crocombe
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,CA Lynn,45eda7c8
info,registry,people,CP Wood,1cfac535
info,registry,people,DJ Lamb,27c5a793
info,registry,people,DP Hughes,f3982af9
info,registry,people,FJ Hudson-Prentice,932d3cc9
info,registry,people,HD Ward,9f7932a7
info,registry,people,HT Crocombe,27fc5808
info,registry,people,HWR Cartwright,ab965cad
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,JA Simpson,f05fe9b1
info,registry,people,JJ Weatherley,a05d0552
info,registry,people,JK Fuller,dda5aae5
info,registry,people,JM Coles,9c643d7b
info,registry,people,JM Vince,a15618fe
info,registry,people,LA Dawson,4a461c24
info,registry,people,Mark Newell,b33f0fa1
info,registry,people,N McAndrew,38c276e1
info,registry,people,NL Bainton,cd219cb3
info,registry,people,OE Robinson,0f3ee070
info,registry,people,S Baker,78c12883
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,SW Currie,c5f40e35
info,registry,people,TE Albert,a6c17509
info,registry,people,TGR Clark,ed8faea2
info,registry,people,TS Mills,245c97cb
