version,2.3.0
info,balls_per_over,6
info,team,Worcestershire
info,team,Nottinghamshire
info,team_type,club
info,gender,male
info,season,2025
info,date,2025/07/17
info,event,Vitality Blast Men
info,match_id,1460870
info,match_type,T20
info,overs,20
info,venue,"County Ground, New Road, Worcester"
info,city,Worcester
info,toss_winner,Nottinghamshire
info,toss_decision,field
info,umpire,BJ Peverall
info,umpire,M Burns
info,match_referee,JJ Whitaker
info,target_overs,2,20
info,target_runs,2,207
info,winner,Worcestershire
info,winner_runs,45
info,player,Worcestershire,Isaac Mohammed
info,player,Worcestershire,BL D'Oliveira
info,player,Worcestershire,Kashif Ali
info,player,Worcestershire,AJ Hose
info,player,Worcestershire,EA Brookes
info,player,Worcestershire,TAI Taylor
info,player,Worcestershire,GH Roderick
info,player,Worcestershire,BMJ Allison
info,player,Worcestershire,F Singh
info,player,Worcestershire,BJ Gibbon
info,player,Worcestershire,Khurram Shahzad
info,player,Nottinghamshire,JM Clarke
info,player,Nottinghamshire,FW McCann
info,player,Nottinghamshire,JA Haynes
info,player,Nottinghamshire,MC Henriques
info,player,Nottinghamshire,M Montgomery
info,player,Nottinghamshire,TJ Moores
info,player,Nottinghamshire,DR Sams
info,player,Nottinghamshire,LA Patterson-White
info,player,Nottinghamshire,CG Harrison
info,player,Nottinghamshire,OP Stone
info,player,Nottinghamshire,DY Pennington
info,registry,people,AJ Hose,104e88a4
info,registry,people,BJ Gibbon,0126ff20
info,registry,people,BJ Peverall,3e04e05a
info,registry,people,BL D'Oliveira,9679838c
info,registry,people,BMJ Allison,39e2c0fd
info,registry,people,CG Harrison,f655d740
info,registry,people,DR Sams,caf69bf7
info,registry,people,DY Pennington,219cc59e
info,registry,people,EA Brookes,6ce9f3eb
info,registry,people,F Singh,1d48795b
info,registry,people,FW McCann,353de846
info,registry,people,GH Roderick,7081848a
info,registry,people,Isaac Mohammed,2c1a21f0
info,registry,people,JA Haynes,fe4ebca0
info,registry,people,JJ Whitaker,4ea85016
info,registry,people,JM Clarke,2eca67f5
info,registry,people,Kashif Ali,f3b26fe4
info,registry,people,Khurram Shahzad,27c5715d
info,registry,people,LA Patterson-White,d48c0f40
info,registry,people,M Burns,b3bd0666
info,registry,people,M Montgomery,7671203a
info,registry,people,MC Henriques,32198ae0
info,registry,people,OP Stone,3f659464
info,registry,people,TAI Taylor,867a45a7
info,registry,people,TJ Moores,85dcb721
