version,2.3.0
info,balls_per_over,6
info,team,Essex
info,team,Lancashire
info,team_type,club
info,gender,female
info,season,2025
info,date,2025/07/16
info,event,Vitality Blast Women
info,match_id,1461039
info,match_type,T20
info,overs,20
info,match_number,51
info,venue,"County Ground, Chelmsford"
info,city,Chelmsford
info,toss_winner,Essex
info,toss_decision,bat
info,umpire,BJ Debenham
info,umpire,J Jarvis
info,match_referee,H Pack
info,target_overs,2,20
info,target_runs,2,108
info,winner,Lancashire
info,winner_wickets,4
info,player,Essex,L Winfield-Hill
info,player,Essex,G Scrivens
info,player,Essex,CL Griffith
info,player,Essex,J Grewcock
info,player,Essex,M Penna
info,player,Essex,AJ Macleod
info,player,Essex,J Gardner
info,player,Essex,E Gray
info,player,Essex,Sophia Smale
info,player,Essex,KL Coppack
info,player,Essex,AH Maqsood
info,player,Lancashire,E Jones
info,player,Lancashire,S Smale
info,player,Lancashire,TN Kesteven
info,player,Lancashire,A Lister
info,player,Lancashire,E Threlkeld
info,player,Lancashire,FMK Morris
info,player,Lancashire,A King
info,player,Lancashire,TG Norris
info,player,Lancashire,DEM Carter
info,player,Lancashire,M Gaur
info,player,Lancashire,S Morris
info,registry,people,A King,83558266
info,registry,people,A Lister,090c0213
info,registry,people,AH Maqsood,f61e2829
info,registry,people,AJ Macleod,e7f06080
info,registry,people,BJ Debenham,524a3a82
info,registry,people,CL Griffith,85ce4231
info,registry,people,DEM Carter,c3394c16
info,registry,people,E Gray,58717de2
info,registry,people,E Jones,971cb321
info,registry,people,E Threlkeld,c66c73f9
info,registry,people,FMK Morris,3a9b3866
info,registry,people,G Scrivens,7306c48d
info,registry,people,H Pack,fed53c91
info,registry,people,J Gardner,184512d1
info,registry,people,J Grewcock,92b94582
info,registry,people,J Jarvis,13187bb6
info,registry,people,KL Coppack,24596e4d
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,M Gaur,df9cdebf
info,registry,people,M Penna,36453b99
info,registry,people,S Morris,76419733
info,registry,people,S Smale,3247d54e
info,registry,people,Sophia Smale,c296dba1
info,registry,people,TG Norris,8ae7bb3e
info,registry,people,TN Kesteven,0a6d368c
