version,2.3.0
info,balls_per_over,6
info,team,Durham
info,team,Somerset
info,team_type,club
info,gender,male
info,season,2025
info,date,2025/07/22
info,date,2025/07/23
info,event,County Championship
info,match_id,1461869
info,match_type,MDM
info,match_number,46
info,venue,"The Cooper Associates County Ground, Taunton"
info,city,Taunton
info,toss_winner,Somerset
info,toss_decision,field
info,umpire,ID Blackwell
info,umpire,MJ Saggers
info,match_referee,SG Hinks
info,winner,Somerset
info,winner_wickets,5
info,player,Durham,AZ Lees
info,player,Durham,EN Gay
info,player,Durham,CN Ackermann
info,player,Durham,DG Bedingham
info,player,Durham,OG Robinson
info,player,Durham,G Clark
info,player,Durham,BA Raine
info,player,Durham,GS Drissell
info,player,Durham,MJ Potts
info,player,Durham,N Wagner
info,player,Durham,CF Parkinson
info,player,Somerset,T Kohler-Cadmore
info,player,Somerset,JH Davey
info,player,Somerset,TA Lammonby
info,player,Somerset,JEK Rew
info,player,Somerset,TB Abell
info,player,Somerset,T Banton
info,player,Somerset,AM Vaughan
info,player,Somerset,L Gregory
info,player,Somerset,C Overton
info,player,Somerset,MJ Leach
info,player,Somerset,JT Ball
info,registry,people,AM Vaughan,33a6488e
info,registry,people,AZ Lees,c9c0fe50
info,registry,people,BA Raine,4c0f3806
info,registry,people,C Overton,e9987a94
info,registry,people,CF Parkinson,aa1210d8
info,registry,people,CN Ackermann,e734d090
info,registry,people,DG Bedingham,a1b69936
info,registry,people,EN Gay,aa710a58
info,registry,people,G Clark,4fd09cfc
info,registry,people,GS Drissell,9a089b15
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,JEK Rew,521595e7
info,registry,people,JH Davey,d3868bd0
info,registry,people,JT Ball,3d0ed2f9
info,registry,people,L Gregory,06c2de82
info,registry,people,MJ Leach,3987e390
info,registry,people,MJ Potts,894b2d25
info,registry,people,MJ Saggers,402d5937
info,registry,people,N Wagner,78adc879
info,registry,people,OG Robinson,60f4c586
info,registry,people,SG Hinks,0bb4dc0d
info,registry,people,T Banton,25f7b7d6
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TA Lammonby,73f1f6b0
info,registry,people,TB Abell,ba9258a7
