version,2.3.0
info,balls_per_over,6
info,team,Leicestershire
info,team,Northamptonshire
info,team_type,club
info,gender,male
info,season,2025
info,date,2025/09/24
info,date,2025/09/25
info,date,2025/09/26
info,date,2025/09/27
info,event,County Championship
info,match_id,1461946
info,match_type,MDM
info,match_number,53
info,venue,"County Ground, Northampton"
info,city,Northampton
info,toss_winner,Leicestershire
info,toss_decision,bat
info,umpire,NA Mallender
info,umpire,RJ Bailey
info,match_referee,JJ Swift
info,declared,3
info,winner,Leicestershire
info,winner_runs,167
info,player,Leicestershire,RK Patel
info,player,Leicestershire,SG Budinger
info,player,Leicestershire,IG Holland
info,player,Leicestershire,LJ Hill
info,player,Leicestershire,SS Eskinazi
info,player,Leicestershire,JA Tattersall
info,player,Leicestershire,OB Cox
info,player,Leicestershire,L Trevaskis
info,player,Leicestershire,LV van Beek
info,player,Leicestershire,CJC Wright
info,player,Leicestershire,J Hull
info,player,Northamptonshire,LD McManus
info,player,Northamptonshire,AU Buchake
info,player,Northamptonshire,RI Keogh
info,player,Northamptonshire,JJG Sales
info,player,Northamptonshire,SA Zaib
info,player,Northamptonshire,J Broad
info,player,Northamptonshire,SP van der Merwe
info,player,Northamptonshire,GA Bartlett
info,player,Northamptonshire,GLS Scrimshaw
info,player,Northamptonshire,B Whitehouse
info,player,Northamptonshire,N Ramesh
info,registry,people,AU Buchake,0fe4cd4d
info,registry,people,B Whitehouse,983a44a9
info,registry,people,CJC Wright,6c908ffc
info,registry,people,GA Bartlett,e2caec46
info,registry,people,GLS Scrimshaw,95a06106
info,registry,people,IG Holland,4167f30b
info,registry,people,J Broad,ec5160d7
info,registry,people,J Hull,1cc0a83d
info,registry,people,JA Tattersall,793977d8
info,registry,people,JJ Swift,78deed6e
info,registry,people,JJG Sales,a63dfe8a
info,registry,people,L Trevaskis,b5781ac3
info,registry,people,LD McManus,6feb46a4
info,registry,people,LJ Hill,35f9a295
info,registry,people,LV van Beek,782fb776
info,registry,people,N Ramesh,8e713054
info,registry,people,NA Mallender,3b5dfcd4
info,registry,people,OB Cox,324a6ee1
info,registry,people,RI Keogh,e22d3b5c
info,registry,people,RJ Bailey,6bd04fa5
info,registry,people,RK Patel,4531f249
info,registry,people,SA Zaib,ab01e323
info,registry,people,SG Budinger,bfc60227
info,registry,people,SP van der Merwe,9cdaed46
info,registry,people,SS Eskinazi,75cbed9b
