version,2.3.0
info,balls_per_over,6
info,team,Worcestershire
info,team,Gloucestershire
info,team_type,club
info,gender,male
info,season,2025
info,date,2025/08/17
info,event,One-Day Cup
info,match_id,1461998
info,match_type,ODM
info,overs,50
info,venue,"County Ground, New Road, Worcester"
info,city,Worcester
info,toss_winner,Gloucestershire
info,toss_decision,field
info,umpire,C McGarry
info,umpire,RJ Warren
info,match_referee,DA Cosker
info,winner,Gloucestershire
info,winner_wickets,6
info,player,Worcestershire,Isaac Mohammed
info,player,Worcestershire,BL D'Oliveira
info,player,Worcestershire,Kashif Ali
info,player,Worcestershire,JD Libby
info,player,Worcestershire,EA Brookes
info,player,Worcestershire,HJ Cullen
info,player,Worcestershire,MJ Waite
info,player,Worcestershire,TAI Taylor
info,player,Worcestershire,JE Home
info,player,Worcestershire,F Singh
info,player,Worcestershire,Khurram Shahzad
info,player,Gloucestershire,James Bracey
info,player,Gloucestershire,CT Bancroft
info,player,Gloucestershire,OJ Price
info,player,Gloucestershire,BG Charlesworth
info,player,Gloucestershire,JMR Taylor
info,player,Gloucestershire,GL van Buuren
info,player,Gloucestershire,TW Boorman
info,player,Gloucestershire,DJ Ahmed
info,player,Gloucestershire,MD Taylor
info,player,Gloucestershire,CN Miles
info,player,Gloucestershire,J Shaw
info,registry,people,BG Charlesworth,ffdba4e2
info,registry,people,BL D'Oliveira,9679838c
info,registry,people,C McGarry,fdf4ec77
info,registry,people,CN Miles,5fed6272
info,registry,people,CT Bancroft,399b0b94
info,registry,people,DA Cosker,aac9f784
info,registry,people,DJ Ahmed,d74ce089
info,registry,people,EA Brookes,6ce9f3eb
info,registry,people,F Singh,1d48795b
info,registry,people,GL van Buuren,ba377b40
info,registry,people,HJ Cullen,e17d56d1
info,registry,people,Isaac Mohammed,2c1a21f0
info,registry,people,J Shaw,b82e3032
info,registry,people,JD Libby,0d61d8f0
info,registry,people,JE Home,86781001
info,registry,people,JMR Taylor,aed5be04
info,registry,people,James Bracey,5bfdc77a
info,registry,people,Kashif Ali,f3b26fe4
info,registry,people,Khurram Shahzad,27c5715d
info,registry,people,MD Taylor,01a95383
info,registry,people,MJ Waite,a4b810d0
info,registry,people,OJ Price,dfc3f02d
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,TAI Taylor,867a45a7
info,registry,people,TW Boorman,2f979390
