version,2.3.0
info,balls_per_over,6
info,team,Hampshire
info,team,Worcestershire
info,team_type,club
info,gender,male
info,season,2025
info,date,2025/09/20
info,event,One-Day Cup
info,match_id,1462032
info,match_type,ODM
info,overs,50
info,venue,"Trent Bridge, Nottingham"
info,city,Nottingham
info,toss_winner,Worcestershire
info,toss_decision,field
info,player_of_match,EA Brookes
info,umpire,BJ Debenham
info,umpire,N Pratt
info,reserve_umpire,JC Tredwell
info,tv_umpire,NL Bainton
info,match_referee,AM Smith
info,winner,Worcestershire
info,winner_wickets,3
info,method,D/L
info,player,Hampshire,AGH Orr
info,player,Hampshire,NRT Gubbins
info,player,Hampshire,FS Middleton
info,player,Hampshire,TE Albert
info,player,Hampshire,BA Mayes
info,player,Hampshire,JK Fuller
info,player,Hampshire,SW Currie
info,player,Hampshire,AJ Neal
info,player,Hampshire,KJ Abbott
info,player,Hampshire,BC Brown
info,player,Hampshire,BTJ Wheal
info,player,Worcestershire,GH Roderick
info,player,Worcestershire,DH Lategan
info,player,Worcestershire,Kashif Ali
info,player,Worcestershire,JD Libby
info,player,Worcestershire,EA Brookes
info,player,Worcestershire,RP Jones
info,player,Worcestershire,MJ Waite
info,player,Worcestershire,TAI Taylor
info,player,Worcestershire,HJ Cullen
info,player,Worcestershire,BMJ Allison
info,player,Worcestershire,Khurram Shahzad
info,registry,people,AGH Orr,1ab18b25
info,registry,people,AJ Neal,d70473e8
info,registry,people,AM Smith,a0bc360f
info,registry,people,BA Mayes,f1541912
info,registry,people,BC Brown,8af86756
info,registry,people,BJ Debenham,524a3a82
info,registry,people,BMJ Allison,39e2c0fd
info,registry,people,BTJ Wheal,3f61a062
info,registry,people,DH Lategan,b8e5ed34
info,registry,people,EA Brookes,6ce9f3eb
info,registry,people,FS Middleton,8492a4de
info,registry,people,GH Roderick,7081848a
info,registry,people,HJ Cullen,e17d56d1
info,registry,people,JC Tredwell,49b6c09f
info,registry,people,JD Libby,0d61d8f0
info,registry,people,JK Fuller,dda5aae5
info,registry,people,KJ Abbott,a9da7784
info,registry,people,Kashif Ali,f3b26fe4
info,registry,people,Khurram Shahzad,27c5715d
info,registry,people,MJ Waite,a4b810d0
info,registry,people,N Pratt,01f65cd3
info,registry,people,NL Bainton,cd219cb3
info,registry,people,NRT Gubbins,c1a89821
info,registry,people,RP Jones,ad8cb396
info,registry,people,SW Currie,c5f40e35
info,registry,people,TAI Taylor,867a45a7
info,registry,people,TE Albert,a6c17509
