version,2.3.0
info,balls_per_over,6
info,team,Desert Vipers
info,team,Dubai Capitals
info,team_type,club
info,gender,male
info,season,2024/25
info,date,2025/02/03
info,event,International League T20
info,match_id,1462202
info,match_type,T20
info,overs,20
info,match_number,30
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,Dubai Capitals
info,toss_decision,field
info,player_of_match,Qais Ahmad
info,umpire,Aasif Iqbal
info,umpire,RSA Palliyaguruge
info,reserve_umpire,AG Wharf
info,tv_umpire,LS Reifer
info,match_referee,RS Mahanama
info,target_overs,2,20
info,target_runs,2,138
info,winner,Dubai Capitals
info,winner_wickets,9
info,player,Desert Vipers,Azam Khan
info,player,Desert Vipers,AD Hales
info,player,Desert Vipers,DW Lawrence
info,player,Desert Vipers,SM Curran
info,player,Desert Vipers,AJ Hose
info,player,Desert Vipers,SE Rutherford
info,player,Desert Vipers,PWH de Silva
info,player,Desert Vipers,MA Jones
info,player,Desert Vipers,Ali Naseer
info,player,Desert Vipers,LH Ferguson
info,player,Desert Vipers,Khuzaima Tanveer
info,player,Desert Vipers,DA Payne
info,player,Dubai Capitals,AM Rossington
info,player,Dubai Capitals,SD Hope
info,player,Dubai Capitals,Gulbadin Naib
info,player,Dubai Capitals,SW Billings
info,player,Dubai Capitals,Sikandar Raza
info,player,Dubai Capitals,MD Shanaka
info,player,Dubai Capitals,R Powell
info,player,Dubai Capitals,PVD Chameera
info,player,Dubai Capitals,Farhan Khan
info,player,Dubai Capitals,Haider Ali
info,player,Dubai Capitals,Qais Ahmad
info,player,Dubai Capitals,OC McCoy
info,registry,people,AD Hales,92aeac25
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AJ Hose,104e88a4
info,registry,people,AM Rossington,7bcde3fe
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Azam Khan,ee8f1a6d
info,registry,people,DA Payne,6c79c098
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,Farhan Khan,617040e4
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,Haider Ali,dd572696
info,registry,people,Khuzaima Tanveer,a3690f55
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,LS Reifer,5dee559a
info,registry,people,MA Jones,05f96194
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,OC McCoy,529eb9e0
info,registry,people,PVD Chameera,327b58d3
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,Qais Ahmad,8d5d991e
info,registry,people,R Powell,650d5e49
info,registry,people,RS Mahanama,57910393
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SM Curran,e94915e6
info,registry,people,SW Billings,c16d4035
info,registry,people,Sikandar Raza,26d041c4
