version,2.3.0
info,balls_per_over,6
info,team,Negombo Cricket Club
info,team,Badureliya Sports Club
info,team_type,club
info,gender,male
info,season,2024/25
info,date,2025/02/23
info,date,2025/02/24
info,date,2025/02/25
info,event,Major League Tournament
info,match_id,1465852
info,match_type,MDM
info,venue,Galle International Stadium
info,city,Galle
info,toss_winner,Negombo Cricket Club
info,toss_decision,bat
info,umpire,KADA Nanayakkara
info,umpire,RMPJ Rambukwella
info,reserve_umpire,NASM de Silva
info,match_referee,WC Labrooy
info,declared,3
info,outcome,draw
info,player,Negombo Cricket Club,Kaveen Fernando
info,player,Negombo Cricket Club,Pasindu Lakshanka
info,player,Negombo Cricket Club,U Lakshan
info,player,Negombo Cricket Club,HS Liyanage
info,player,Negombo Cricket Club,AJADDLA Jayasinghe
info,player,Negombo Cricket Club,P Maduwantha
info,player,Negombo Cricket Club,PSU Fernando
info,player,Negombo Cricket Club,HHD Sandaruwan
info,player,Negombo Cricket Club,H Hiruna
info,player,Negombo Cricket Club,KN Peiris
info,player,Negombo Cricket Club,SADU Indrasiri
info,player,Badureliya Sports Club,D Jayatunga
info,player,Badureliya Sports Club,LK Fransisco
info,player,Badureliya Sports Club,G Koralage
info,player,Badureliya Sports Club,R Silva
info,player,Badureliya Sports Club,AAS Silva
info,player,Badureliya Sports Club,HG Kumara
info,player,Badureliya Sports Club,K Amantha
info,player,Badureliya Sports Club,LAC Ruwansiri
info,player,Badureliya Sports Club,KK Kevin
info,player,Badureliya Sports Club,C de Silva
info,player,Badureliya Sports Club,NC Komasaru
info,registry,people,AAS Silva,94aa1697
info,registry,people,AJADDLA Jayasinghe,fc93fc6c
info,registry,people,C de Silva,9cfe63f5
info,registry,people,D Jayatunga,aef9696e
info,registry,people,G Koralage,4a567512
info,registry,people,H Hiruna,13b2d7bf
info,registry,people,HG Kumara,b3ef6c41
info,registry,people,HHD Sandaruwan,024a4869
info,registry,people,HS Liyanage,8505bd55
info,registry,people,K Amantha,792a3d5a
info,registry,people,KADA Nanayakkara,9ee551f5
info,registry,people,KK Kevin,933b15c7
info,registry,people,KN Peiris,d0cc2738
info,registry,people,Kaveen Fernando,c7887694
info,registry,people,LAC Ruwansiri,e1d6101f
info,registry,people,LK Fransisco,48076638
info,registry,people,NASM de Silva,81463a8c
info,registry,people,NC Komasaru,a667760a
info,registry,people,P Maduwantha,bb716014
info,registry,people,PSU Fernando,dd43dd57
info,registry,people,Pasindu Lakshanka,d60205f5
info,registry,people,R Silva,1117e543
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,SADU Indrasiri,9964bc97
info,registry,people,U Lakshan,bc0554d7
info,registry,people,WC Labrooy,29d4e29b
