version,2.3.0
info,balls_per_over,6
info,team,Bahrain
info,team,Italy
info,team_type,international
info,gender,male
info,season,2024/25
info,date,2025/02/15
info,event,CWC Challenge League
info,match_id,1471840
info,match_type,ODM
info,overs,50
info,match_number,28
info,venue,Kowloon Cricket Club
info,city,Kowloon
info,toss_winner,Bahrain
info,toss_decision,bat
info,player_of_match,M Campopiano
info,umpire,DN Subedi
info,umpire,Ramasamy Venkatesh
info,reserve_umpire,V Kalidas
info,match_referee,WC Labrooy
info,target_overs,2,50
info,target_runs,2,131
info,winner,Italy
info,winner_wickets,6
info,player,Bahrain,R Ramesh
info,player,Bahrain,Shahbaz Badar
info,player,Bahrain,Fiaz Ahmed
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,S Sarthak
info,player,Bahrain,Muhammed Basil
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Abdul Majid Abbasi
info,player,Bahrain,Imran Khan
info,player,Italy,J Mosca
info,player,Italy,M Campopiano
info,player,Italy,AJ Mosca
info,player,Italy,WL Madsen
info,player,Italy,NA Maiolo
info,player,Italy,GK Berg
info,player,Italy,G Stewart
info,player,Italy,Rakibul Hasan
info,player,Italy,CJPF Kalugamage
info,player,Italy,Jaspreet Singh
info,player,Italy,TJ Draca
info,registry,people,AJ Mosca,19c56e6e
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,CJPF Kalugamage,31c04b7b
info,registry,people,DN Subedi,fb0a571f
info,registry,people,Fiaz Ahmed,df1f2f29
info,registry,people,G Stewart,a77472dc
info,registry,people,GK Berg,42151725
info,registry,people,Imran Khan,da3b91fd
info,registry,people,J Mosca,8f02f6a8
info,registry,people,Jaspreet Singh,d76ab352
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,M Campopiano,26d80a9d
info,registry,people,Muhammed Basil,457e6a8e
info,registry,people,NA Maiolo,362fde0f
info,registry,people,R Ramesh,30ade329
info,registry,people,Rakibul Hasan,b75b7b09
info,registry,people,Ramasamy Venkatesh,8ad68ea7
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Sarthak,9f2c6cd3
info,registry,people,Shahbaz Badar,23eedcd3
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,TJ Draca,88fac705
info,registry,people,V Kalidas,42d76418
info,registry,people,WC Labrooy,29d4e29b
info,registry,people,WL Madsen,86e0f3f0
