version,2.3.0
info,balls_per_over,6
info,team,MI New York
info,team,Washington Freedom
info,team_type,club
info,gender,male
info,season,2025
info,date,2025/07/06
info,event,Major League Cricket
info,match_id,1482020
info,match_type,T20
info,overs,20
info,match_number,29
info,venue,"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
info,city,Lauderhill
info,toss_winner,MI New York
info,toss_decision,bat
info,player_of_match,GJ Maxwell
info,umpire,BV Taylor
info,umpire,WR Knights
info,reserve_umpire,R Samuels
info,tv_umpire,M Erasmus
info,match_referee,JJ Crowe
info,target_overs,2,18
info,target_runs,2,113
info,winner,Washington Freedom
info,winner_wickets,6
info,player,MI New York,MD Patel
info,player,MI New York,Kunwarjeet Singh
info,player,MI New York,N Pooran
info,player,MI New York,Tajinder Singh
info,player,MI New York,Sharad Lumba
info,player,MI New York,D Potgieter
info,player,MI New York,FA Allen
info,player,MI New York,H Richards
info,player,MI New York,Sunny Patel
info,player,MI New York,T Luus
info,player,MI New York,NP Kenjige
info,player,Washington Freedom,MJ Owen
info,player,Washington Freedom,R Ravindra
info,player,Washington Freedom,AGS Gous
info,player,Washington Freedom,MS Chapman
info,player,Washington Freedom,GJ Maxwell
info,player,Washington Freedom,GD Phillips
info,player,Washington Freedom,Mukhtar Ahmed
info,player,Washington Freedom,AJ Pienaar
info,player,Washington Freedom,J Edwards
info,player,Washington Freedom,IG Holland
info,player,Washington Freedom,SN Netravalkar
info,registry,people,AGS Gous,d1305df0
info,registry,people,AJ Pienaar,647a48da
info,registry,people,BV Taylor,99760152
info,registry,people,D Potgieter,60fbf53a
info,registry,people,FA Allen,b52ffbbd
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,H Richards,a0095f0e
info,registry,people,IG Holland,4167f30b
info,registry,people,J Edwards,f787e0eb
info,registry,people,JJ Crowe,2e760301
info,registry,people,Kunwarjeet Singh,b0af303d
info,registry,people,M Erasmus,15d3c895
info,registry,people,MD Patel,25d7f1ac
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mukhtar Ahmed,456f6d99
info,registry,people,N Pooran,3241e3fd
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,R Ravindra,ba5e1069
info,registry,people,R Samuels,8a8bc9f6
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,Sharad Lumba,03c29939
info,registry,people,Sunny Patel,db481029
info,registry,people,T Luus,a0b76243
info,registry,people,Tajinder Singh,f9d99806
info,registry,people,WR Knights,63cbf8d8
