version,2.3.0
info,balls_per_over,6
info,team,Panadura Sports Club
info,team,Badureliya Sports Club
info,team_type,club
info,gender,male
info,season,2025
info,date,2025/06/05
info,event,Major Clubs T20 Tournament
info,match_id,1485316
info,match_type,T20
info,overs,20
info,venue,"Colts Cricket Club Ground, Colombo"
info,city,Colombo
info,toss_winner,Badureliya Sports Club
info,toss_decision,field
info,umpire,SWC Sanjeewa
info,umpire,RSA Palliyaguruge
info,reserve_umpire,PSR Fonseka
info,match_referee,R Punchihewa
info,target_overs,2,20
info,target_runs,2,150
info,winner,Panadura Sports Club
info,winner_runs,4
info,player,Panadura Sports Club,Kanchana de Livera
info,player,Panadura Sports Club,VS Halambage
info,player,Panadura Sports Club,JE Jayakodyge
info,player,Panadura Sports Club,S Malshan
info,player,Panadura Sports Club,MADI Hemantha
info,player,Panadura Sports Club,G Malkan
info,player,Panadura Sports Club,N Vimukthi
info,player,Panadura Sports Club,NT Gamage
info,player,Panadura Sports Club,V Lahiru
info,player,Panadura Sports Club,Senitha Halambage
info,player,Panadura Sports Club,KDA Manoj
info,player,Badureliya Sports Club,AAS Silva
info,player,Badureliya Sports Club,DD de Soysa
info,player,Badureliya Sports Club,Y Dilruk
info,player,Badureliya Sports Club,Y Dewthusa
info,player,Badureliya Sports Club,J Kaushal
info,player,Badureliya Sports Club,RP Thattil
info,player,Badureliya Sports Club,S Prasanna
info,player,Badureliya Sports Club,K Nuwantha
info,player,Badureliya Sports Club,M Madubashana
info,player,Badureliya Sports Club,N Premaratne
info,player,Badureliya Sports Club,A Dulara
info,registry,people,A Dulara,96cd12eb
info,registry,people,AAS Silva,94aa1697
info,registry,people,DD de Soysa,c3e40574
info,registry,people,G Malkan,0c79cd0e
info,registry,people,J Kaushal,d017ecd5
info,registry,people,JE Jayakodyge,782ca295
info,registry,people,K Nuwantha,7d8773b4
info,registry,people,KDA Manoj,361c920a
info,registry,people,Kanchana de Livera,05464bcd
info,registry,people,M Madubashana,ec75e72a
info,registry,people,MADI Hemantha,58431ca0
info,registry,people,N Premaratne,12a15f20
info,registry,people,N Vimukthi,b215a7be
info,registry,people,NT Gamage,f66b8839
info,registry,people,PSR Fonseka,8fd2cea5
info,registry,people,R Punchihewa,dd7477cb
info,registry,people,RP Thattil,673990db
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,S Malshan,68581793
info,registry,people,S Prasanna,f78e7113
info,registry,people,SWC Sanjeewa,2a8fc965
info,registry,people,Senitha Halambage,eab6aa30
info,registry,people,V Lahiru,26cd5968
info,registry,people,VS Halambage,9531d48f
info,registry,people,Y Dewthusa,f7966437
info,registry,people,Y Dilruk,3c9f8f5f
