version,2.3.0
info,balls_per_over,6
info,team,Guyana Amazon Warriors
info,team,Trinbago Knight Riders
info,team_type,club
info,gender,female
info,season,2025
info,date,2025/09/06
info,event,Women's Caribbean Premier League
info,match_id,1489952
info,match_type,T20
info,overs,20
info,match_number,1
info,venue,"Providence Stadium, Guyana"
info,city,Providence
info,toss_winner,Trinbago Knight Riders
info,toss_decision,field
info,player_of_match,L Harris
info,umpire,CO Wright
info,umpire,Zahid Bassarath
info,reserve_umpire,CM Tuckett
info,tv_umpire,LS Reifer
info,match_referee,Denavon Hayles
info,target_overs,2,20
info,target_runs,2,130
info,winner,Guyana Amazon Warriors
info,winner_runs,6
info,player,Guyana Amazon Warriors,A Hunter
info,player,Guyana Amazon Warriors,RMAU Grimmond
info,player,Guyana Amazon Warriors,SR Taylor
info,player,Guyana Amazon Warriors,SA Campbelle
info,player,Guyana Amazon Warriors,L Harris
info,player,Guyana Amazon Warriors,CN Nation
info,player,Guyana Amazon Warriors,CS Fraser
info,player,Guyana Amazon Warriors,A Munisar
info,player,Guyana Amazon Warriors,K Ramharack
info,player,Guyana Amazon Warriors,MM Penfold
info,player,Guyana Amazon Warriors,K Schultz
info,player,Trinbago Knight Riders,L Lee
info,player,Trinbago Knight Riders,RS Williams
info,player,Trinbago Knight Riders,JL Jonassen
info,player,Trinbago Knight Riders,DJS Dottin
info,player,Trinbago Knight Riders,JKC Claxton
info,player,Trinbago Knight Riders,S Gajnabi
info,player,Trinbago Knight Riders,J Glasgow
info,player,Trinbago Knight Riders,S Pandey
info,player,Trinbago Knight Riders,SL Dangore
info,player,Trinbago Knight Riders,Z James
info,player,Trinbago Knight Riders,S Ramnath
info,registry,people,A Hunter,e8fa03ed
info,registry,people,A Munisar,a811cb83
info,registry,people,CM Tuckett,a67252f0
info,registry,people,CN Nation,639000b6
info,registry,people,CO Wright,a541fc41
info,registry,people,CS Fraser,fb9a8cc3
info,registry,people,DJS Dottin,53bee17f
info,registry,people,Denavon Hayles,5cbeeb02
info,registry,people,J Glasgow,a2632c7c
info,registry,people,JKC Claxton,e22f8ec1
info,registry,people,JL Jonassen,0475a86b
info,registry,people,K Ramharack,321c980e
info,registry,people,K Schultz,6900060d
info,registry,people,L Harris,36e2dc83
info,registry,people,L Lee,7b01ce83
info,registry,people,LS Reifer,5dee559a
info,registry,people,MM Penfold,645b2a2f
info,registry,people,RMAU Grimmond,5215d4c3
info,registry,people,RS Williams,406de451
info,registry,people,S Gajnabi,c35739a1
info,registry,people,S Pandey,5463cb7a
info,registry,people,S Ramnath,7796dd75
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SL Dangore,f4fef488
info,registry,people,SR Taylor,92cf79a8
info,registry,people,Z James,816af623
info,registry,people,Zahid Bassarath,ca6bf044
