version,2.3.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Sydney Thunder
info,team_type,club
info,gender,female
info,season,2025/26
info,date,2025/11/28
info,event,Women's Big Bash League
info,match_id,1494552
info,match_type,T20
info,overs,20
info,match_number,27
info,venue,Adelaide Oval
info,city,Adelaide
info,toss_winner,Sydney Thunder
info,toss_decision,field
info,umpire,Eloise Sheridan
info,umpire,SE Dionysius
info,reserve_umpire,K Miegel
info,tv_umpire,PR George
info,match_referee,SJ Davis
info,target_overs,2,5
info,target_runs,2,46
info,outcome,no result
info,player,Adelaide Strikers,E Johnston
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,TT Beaumont
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,S Ecclestone
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,T Saville
info,player,Adelaide Strikers,D Brown
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,G Voll
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,HC Knight
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,L Harris
info,player,Sydney Thunder,AC Jayangani
info,player,Sydney Thunder,L Finn
info,player,Sydney Thunder,T Peschel
info,player,Sydney Thunder,S Ismail
info,player,Sydney Thunder,SL Bates
info,registry,people,A Learoyd,1757bedf
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,D Brown,2e81be88
info,registry,people,E Johnston,3785e30d
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,G Voll,5c30d455
info,registry,people,HC Knight,4ba0289e
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,K Miegel,fcef2064
info,registry,people,L Finn,579e3965
info,registry,people,L Harris,36e2dc83
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Penna,36453b99
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,PR George,b76e2583
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Ismail,108c4c09
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,SL Bates,0816fb1e
info,registry,people,T Peschel,923402d8
info,registry,people,T Saville,2ef9bdcb
info,registry,people,T Wilson,32100b2d
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,TT Beaumont,b2664905
