version,2.3.0
info,balls_per_over,6
info,team,South Australia
info,team,Western Australia
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2025/10/28
info,date,2025/10/29
info,date,2025/10/30
info,date,2025/10/31
info,event,Sheffield Shield
info,match_id,1495287
info,match_type,MDM
info,match_number,9
info,venue,"Western Australia Cricket Association Ground, Perth"
info,city,Perth
info,toss_winner,Western Australia
info,toss_decision,field
info,player_of_match,B Doggett
info,umpire,Andrew Crozier
info,umpire,BC Treloar
info,match_referee,Kent Hannam
info,declared,3
info,outcome,draw
info,player,South Australia,CJ McInerney
info,player,South Australia,HJ Hunt
info,player,South Australia,NA McSweeney
info,player,South Australia,JJS Sangha
info,player,South Australia,JS Lehmann
info,player,South Australia,L Scott
info,player,South Australia,HJ Nielsen
info,player,South Australia,BAD Manenti
info,player,South Australia,N McAndrew
info,player,South Australia,HTRY Thornton
info,player,South Australia,B Doggett
info,player,Western Australia,CT Bancroft
info,player,Western Australia,SM Whiteman
info,player,Western Australia,HWR Cartwright
info,player,Western Australia,C Green
info,player,Western Australia,C Connolly
info,player,Western Australia,AM Hardie
info,player,Western Australia,JL Curtis
info,player,Western Australia,M Kelly
info,player,Western Australia,CJ Rocchiccioli
info,player,Western Australia,CJ Gannon
info,player,Western Australia,L Haskett
info,registry,people,AM Hardie,d405c0d5
info,registry,people,Andrew Crozier,00d07580
info,registry,people,B Doggett,898e628d
info,registry,people,BAD Manenti,ab21795b
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,C Connolly,fe366f34
info,registry,people,C Green,eaa76d3c
info,registry,people,CJ Gannon,519c30cb
info,registry,people,CJ McInerney,2beab1d6
info,registry,people,CJ Rocchiccioli,aa3c7a7a
info,registry,people,CT Bancroft,399b0b94
info,registry,people,HJ Hunt,62ef4abe
info,registry,people,HJ Nielsen,0ea1455a
info,registry,people,HTRY Thornton,055be93a
info,registry,people,HWR Cartwright,ab965cad
info,registry,people,JJS Sangha,8e3cb0e9
info,registry,people,JL Curtis,a4349861
info,registry,people,JS Lehmann,c96a215f
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,L Haskett,037429dc
info,registry,people,L Scott,0ebb3444
info,registry,people,M Kelly,68e26ec9
info,registry,people,N McAndrew,38c276e1
info,registry,people,NA McSweeney,e94d2d50
info,registry,people,SM Whiteman,f4427cc6
