version,2.3.0
info,balls_per_over,6
info,team,South Australia
info,team,Victoria
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2025/10/09
info,event,One-Day Cup (Australia)
info,match_id,1495317
info,match_type,ODM
info,overs,50
info,match_number,8
info,venue,Adelaide Oval
info,city,Adelaide
info,toss_winner,Victoria
info,toss_decision,field
info,player_of_match,N McAndrew
info,umpire,BC Treloar
info,umpire,DM Koch
info,match_referee,SJ Davis
info,target_overs,2,50
info,target_runs,2,274
info,winner,South Australia
info,winner_runs,79
info,player,South Australia,J Fraser-McGurk
info,player,South Australia,MW Harvey
info,player,South Australia,NA McSweeney
info,player,South Australia,JJS Sangha
info,player,South Australia,JS Lehmann
info,player,South Australia,HJ Manenti
info,player,South Australia,HJ Nielsen
info,player,South Australia,N McAndrew
info,player,South Australia,WA Agar
info,player,South Australia,L Pope
info,player,South Australia,JS Buckingham
info,player,Victoria,MW Short
info,player,Victoria,C Kellaway
info,player,Victoria,TF Rogers
info,player,Victoria,PSP Handscomb
info,player,Victoria,OJ Peake
info,player,Victoria,SB Harper
info,player,Victoria,BD Macdonald
info,player,Victoria,XA Crone
info,player,Victoria,T Murphy
info,player,Victoria,A Anlezark
info,player,Victoria,CL McClure
info,registry,people,A Anlezark,3adc8219
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,BD Macdonald,28147cdc
info,registry,people,C Kellaway,60c28835
info,registry,people,CL McClure,b3267eaa
info,registry,people,DM Koch,6d10c034
info,registry,people,HJ Manenti,0e56c514
info,registry,people,HJ Nielsen,0ea1455a
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JJS Sangha,8e3cb0e9
info,registry,people,JS Buckingham,10735e1d
info,registry,people,JS Lehmann,c96a215f
info,registry,people,L Pope,616a8149
info,registry,people,MW Harvey,47dc9794
info,registry,people,MW Short,a90e53ec
info,registry,people,N McAndrew,38c276e1
info,registry,people,NA McSweeney,e94d2d50
info,registry,people,OJ Peake,9c8448ba
info,registry,people,PSP Handscomb,ada15e88
info,registry,people,SB Harper,a756e61a
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,T Murphy,ac2e7ec0
info,registry,people,TF Rogers,7f232d46
info,registry,people,WA Agar,15de1f5d
info,registry,people,XA Crone,e5ee7c83
