version,2.3.0
info,balls_per_over,6
info,team,Kuwait
info,team,Qatar
info,team_type,international
info,gender,male
info,season,2025
info,date,2025/08/21
info,event,CWC Challenge League
info,match_id,1497097
info,match_type,ODM
info,overs,50
info,match_number,16
info,venue,"Grainville, St Saviour"
info,city,St Saviour
info,toss_winner,Kuwait
info,toss_decision,bat
info,player_of_match,Meet Bhavsar
info,umpire,DH Mclean
info,umpire,Gazi Sohel
info,reserve_umpire,M Jameson
info,match_referee,GF Labrooy
info,target_overs,2,50
info,target_runs,2,300
info,winner,Kuwait
info,winner_runs,22
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,CV Anto
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,Mohammad Amin
info,player,Kuwait,Ali Zaheer
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Usman Patel
info,player,Kuwait,Shiraz Khan
info,player,Kuwait,Yasin Patel
info,player,Kuwait,A Chenthamara
info,player,Kuwait,Mohamed Shafeeq
info,player,Qatar,I Liyanage
info,player,Qatar,Mujeeb-ur-Rehman
info,player,Qatar,Shakkir Kassim
info,player,Qatar,Muhammad Tanveer
info,player,Qatar,Muhammad Asim
info,player,Qatar,Shahzaib Jamil
info,player,Qatar,Ikramullah Khan
info,player,Qatar,DAM Louis
info,player,Qatar,Muhammad Murad
info,player,Qatar,Amir Farooq
info,player,Qatar,Owais Ahmed
info,registry,people,A Chenthamara,e7e14ecc
info,registry,people,Ali Zaheer,04ed04d2
info,registry,people,Amir Farooq,6e991bd4
info,registry,people,CV Anto,c01ca5af
info,registry,people,DAM Louis,b975210d
info,registry,people,DH Mclean,281d4749
info,registry,people,GF Labrooy,8e088dbc
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,I Liyanage,826e1017
info,registry,people,Ikramullah Khan,c6e1354c
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,Mohammad Amin,01b45044
info,registry,people,Muhammad Asim,b424d3d3
info,registry,people,Muhammad Murad,df3947f4
info,registry,people,Muhammad Tanveer,aef39fe4
info,registry,people,Mujeeb-ur-Rehman,1a8f879b
info,registry,people,Owais Ahmed,cef52835
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Shahzaib Jamil,fbb6d1a7
info,registry,people,Shakkir Kassim,2d4d282d
info,registry,people,Shiraz Khan,f310704c
info,registry,people,Usman Patel,415c6ccf
info,registry,people,Yasin Patel,ecdd8d60
