version,2.3.0
info,balls_per_over,6
info,team,Canterbury
info,team,Otago Volts
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2025/11/26
info,date,2025/11/27
info,date,2025/11/28
info,date,2025/11/29
info,event,Plunket Shield
info,match_id,1499329
info,match_type,MDM
info,match_number,6
info,venue,"University Oval, Dunedin"
info,city,Dunedin
info,toss_winner,Otago Volts
info,toss_decision,field
info,umpire,N Louw
info,umpire,SB Haig
info,match_referee,SB O'Connor
info,declared,1
info,declared,3
info,outcome,draw
info,player,Canterbury,TWM Latham
info,player,Canterbury,CJ Bowes
info,player,Canterbury,RA Mariu
info,player,Canterbury,HM Nicholls
info,player,Canterbury,MWT Boyle
info,player,Canterbury,MJ Hay
info,player,Canterbury,IS Sodhi
info,player,Canterbury,AW McKenzie
info,player,Canterbury,SB Davey
info,player,Canterbury,FW Sheat
info,player,Canterbury,MD Rae
info,player,Otago Volts,JCT Boyle
info,player,Otago Volts,JM Cumming
info,player,Otago Volts,TC Jones
info,player,Otago Volts,TK Parkes
info,player,Otago Volts,GD Phillips
info,player,Otago Volts,MW Chu
info,player,Otago Volts,LI Georgeson
info,player,Otago Volts,BNJ Lockrose
info,player,Otago Volts,DK Ferns
info,player,Otago Volts,MB Bacon
info,player,Otago Volts,JD McKay
info,registry,people,AW McKenzie,b53136ce
info,registry,people,BNJ Lockrose,aa8914ad
info,registry,people,CJ Bowes,45df0e72
info,registry,people,DK Ferns,f28c7456
info,registry,people,FW Sheat,56d471f2
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,HM Nicholls,03521fd3
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JCT Boyle,f7b3d625
info,registry,people,JD McKay,2767c22a
info,registry,people,JM Cumming,af4c6a6d
info,registry,people,LI Georgeson,6be7b49d
info,registry,people,MB Bacon,90701232
info,registry,people,MD Rae,1c06d60a
info,registry,people,MJ Hay,732f711b
info,registry,people,MW Chu,ef9f75f8
info,registry,people,MWT Boyle,b42d5053
info,registry,people,N Louw,465c4770
info,registry,people,RA Mariu,6d816d13
info,registry,people,SB Davey,f45cd5c8
info,registry,people,SB Haig,811655b3
info,registry,people,SB O'Connor,4e80ab93
info,registry,people,TC Jones,8f1ee082
info,registry,people,TK Parkes,343407f3
info,registry,people,TWM Latham,e824e6ee
