version,2.3.0
info,balls_per_over,6
info,team,Central Stags
info,team,Canterbury
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2025/12/05
info,date,2025/12/06
info,date,2025/12/07
info,date,2025/12/08
info,event,Plunket Shield
info,match_id,1499332
info,match_type,MDM
info,match_number,9
info,venue,"McLean Park, Napier"
info,city,Napier
info,toss_winner,Central Stags
info,toss_decision,bat
info,umpire,CM Brown
info,umpire,KS Jagannathan
info,match_referee,G Stretch
info,winner,Central Stags
info,winner_runs,295
info,player,Canterbury,FW Sheat
info,player,Canterbury,JJA Frew
info,player,Canterbury,CJ Bowes
info,player,Canterbury,RA Mariu
info,player,Canterbury,AW McKenzie
info,player,Canterbury,HM Nicholls
info,player,Canterbury,CE McConchie
info,player,Canterbury,MWT Boyle
info,player,Canterbury,MJ Hay
info,player,Canterbury,IS Sodhi
info,player,Canterbury,KA Jamieson
info,player,Canterbury,SB Davey
info,player,Canterbury,MD Rae
info,player,Central Stags,CG Heaphy
info,player,Central Stags,TJ Bettelheim
info,player,Central Stags,BD Schmulian
info,player,Central Stags,D Foxcroft
info,player,Central Stags,D Cleaver
info,player,Central Stags,JA Clarkson
info,player,Central Stags,W Clark
info,player,Central Stags,AY Patel
info,player,Central Stags,JR Lennox
info,player,Central Stags,TM Annand
info,player,Central Stags,RL Toole
info,registry,people,AW McKenzie,b53136ce
info,registry,people,AY Patel,fbd4f01f
info,registry,people,BD Schmulian,25dcd237
info,registry,people,CE McConchie,d285acaf
info,registry,people,CG Heaphy,fcbd6eb8
info,registry,people,CJ Bowes,45df0e72
info,registry,people,CM Brown,448f4f1c
info,registry,people,D Cleaver,e3a949be
info,registry,people,D Foxcroft,ed6894af
info,registry,people,FW Sheat,56d471f2
info,registry,people,G Stretch,1d054cad
info,registry,people,HM Nicholls,03521fd3
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JA Clarkson,bed90114
info,registry,people,JJA Frew,f209ee79
info,registry,people,JR Lennox,07793daf
info,registry,people,KA Jamieson,68c56d09
info,registry,people,KS Jagannathan,9bc8dcec
info,registry,people,MD Rae,1c06d60a
info,registry,people,MJ Hay,732f711b
info,registry,people,MWT Boyle,b42d5053
info,registry,people,RA Mariu,6d816d13
info,registry,people,RL Toole,2fef3b0c
info,registry,people,SB Davey,f45cd5c8
info,registry,people,TJ Bettelheim,5a27f465
info,registry,people,TM Annand,cd082e72
info,registry,people,W Clark,4f78497c
