version,2.3.0
info,balls_per_over,6
info,team,Auckland
info,team,Otago
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2026/01/06
info,event,Super Smash
info,match_id,1499638
info,match_type,T20
info,overs,20
info,match_number,11
info,venue,"Eden Park Outer Oval, Auckland"
info,city,Auckland
info,toss_winner,Otago
info,toss_decision,field
info,player_of_match,DN Phillips
info,umpire,CR Pryor
info,umpire,JM Dempsey
info,reserve_umpire,BS Wilson
info,tv_umpire,Glen Walklin
info,match_referee,GB Troup
info,target_overs,2,20
info,target_runs,2,201
info,winner,Auckland
info,winner_runs,88
info,player,Auckland,DN Phillips
info,player,Auckland,LD Watson
info,player,Auckland,BJ Jacobs
info,player,Auckland,MJ Guptill
info,player,Auckland,SM Solia
info,player,Auckland,CD Fletcher
info,player,Auckland,RD Harrison
info,player,Auckland,S Dixit
info,player,Auckland,H Johal
info,player,Auckland,AL Olliver
info,player,Auckland,RK Gulati
info,player,Otago,JM Cumming
info,player,Otago,JT Todd
info,player,Otago,MW Chu
info,player,Otago,JCT Boyle
info,player,Otago,LC Johnson
info,player,Otago,TM Johnson
info,player,Otago,JM Gibson
info,player,Otago,BNJ Lockrose
info,player,Otago,DK Ferns
info,player,Otago,ATE Hazeldine
info,player,Otago,MB Bacon
info,registry,people,AL Olliver,9b05c1c1
info,registry,people,ATE Hazeldine,33ad0ad9
info,registry,people,BJ Jacobs,972f217b
info,registry,people,BNJ Lockrose,aa8914ad
info,registry,people,BS Wilson,ac3e14ed
info,registry,people,CD Fletcher,4af9f5d4
info,registry,people,CR Pryor,8d705d48
info,registry,people,DK Ferns,f28c7456
info,registry,people,DN Phillips,be0c9f5b
info,registry,people,GB Troup,94f0e744
info,registry,people,Glen Walklin,0070ed27
info,registry,people,H Johal,54bd6664
info,registry,people,JCT Boyle,f7b3d625
info,registry,people,JM Cumming,af4c6a6d
info,registry,people,JM Dempsey,153c9f33
info,registry,people,JM Gibson,e3aa97a2
info,registry,people,JT Todd,d8417b91
info,registry,people,LC Johnson,a573ad7a
info,registry,people,LD Watson,2ee7206c
info,registry,people,MB Bacon,90701232
info,registry,people,MJ Guptill,2be41edb
info,registry,people,MW Chu,ef9f75f8
info,registry,people,RD Harrison,8f3f2d61
info,registry,people,RK Gulati,f5da80da
info,registry,people,S Dixit,85ec63b5
info,registry,people,SM Solia,fd9f43bb
info,registry,people,TM Johnson,917f66da
