version,2.3.0
info,balls_per_over,6
info,team,Otago
info,team,Central Districts
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2026/01/24
info,event,Super Smash
info,match_id,1499655
info,match_type,T20
info,overs,20
info,match_number,28
info,venue,"McLean Park, Napier"
info,city,Napier
info,toss_winner,Otago
info,toss_decision,bat
info,umpire,Glen Walklin
info,umpire,GG Pennell
info,reserve_umpire,SR Oliver
info,tv_umpire,V Mahna
info,match_referee,K Pulley
info,target_overs,2,20
info,target_runs,2,134
info,winner,Central Districts
info,winner_wickets,6
info,player,Otago,JM Cumming
info,player,Otago,JT Todd
info,player,Otago,MW Chu
info,player,Otago,JCT Boyle
info,player,Otago,TM Johnson
info,player,Otago,R Clinton
info,player,Otago,JM Gibson
info,player,Otago,BNJ Lockrose
info,player,Otago,DK Ferns
info,player,Otago,MB Bacon
info,player,Otago,HDJ Sixton
info,player,Central Districts,D Foxcroft
info,player,Central Districts,WA Young
info,player,Central Districts,D Cleaver
info,player,Central Districts,TC Bruce
info,player,Central Districts,JA Clarkson
info,player,Central Districts,SJ Cassidy
info,player,Central Districts,JFA Field
info,player,Central Districts,BM Tickner
info,player,Central Districts,JR Lennox
info,player,Central Districts,BG Randell
info,player,Central Districts,AY Patel
info,registry,people,AY Patel,fbd4f01f
info,registry,people,BG Randell,dbeb6733
info,registry,people,BM Tickner,48ad3373
info,registry,people,BNJ Lockrose,aa8914ad
info,registry,people,D Cleaver,e3a949be
info,registry,people,D Foxcroft,ed6894af
info,registry,people,DK Ferns,f28c7456
info,registry,people,GG Pennell,d9376677
info,registry,people,Glen Walklin,0070ed27
info,registry,people,HDJ Sixton,98670c79
info,registry,people,JA Clarkson,bed90114
info,registry,people,JCT Boyle,f7b3d625
info,registry,people,JFA Field,0085a7ce
info,registry,people,JM Cumming,af4c6a6d
info,registry,people,JM Gibson,e3aa97a2
info,registry,people,JR Lennox,07793daf
info,registry,people,JT Todd,d8417b91
info,registry,people,K Pulley,644bf4ad
info,registry,people,MB Bacon,90701232
info,registry,people,MW Chu,ef9f75f8
info,registry,people,R Clinton,367e254b
info,registry,people,SJ Cassidy,e42b0c76
info,registry,people,SR Oliver,d3713ba5
info,registry,people,TC Bruce,f92c9151
info,registry,people,TM Johnson,917f66da
info,registry,people,V Mahna,5dcdc811
info,registry,people,WA Young,8afe73e2
