version,2.3.0
info,balls_per_over,6
info,team,Auckland
info,team,Northern Districts
info,team_type,club
info,gender,female
info,season,2025/26
info,date,2025/12/26
info,event,Women's Super Smash
info,match_id,1499660
info,match_type,T20
info,overs,20
info,match_number,1
info,venue,"Seddon Park, Hamilton"
info,city,Hamilton
info,toss_winner,Northern Districts
info,toss_decision,field
info,umpire,CM Brown
info,umpire,T Semmens
info,reserve_umpire,SB Martin
info,tv_umpire,Damian Morrow
info,match_referee,SRM Morris
info,outcome,no result
info,player,Auckland,P Catton
info,player,Auckland,BG Armstrong
info,player,Auckland,ML Green
info,player,Auckland,BM Halliday
info,player,Auckland,LR Down
info,player,Auckland,JO Penfold
info,player,Auckland,A Lambat
info,player,Auckland,E Buchanan
info,player,Auckland,AT Hucker
info,player,Auckland,MM Penfold
info,player,Auckland,BG Illing
info,player,Northern Districts,JM Watkin
info,player,Northern Districts,T Wakelin
info,player,Northern Districts,J Gardner
info,player,Northern Districts,CA Gurrey
info,player,Northern Districts,NH Patel
info,player,Northern Districts,MBA Lamplough
info,player,Northern Districts,E Wolland
info,player,Northern Districts,HE Topp
info,player,Northern Districts,LF Boucher
info,player,Northern Districts,MW Downes
info,player,Northern Districts,KA Knight
info,registry,people,A Lambat,5978fc2a
info,registry,people,AT Hucker,9b554bb9
info,registry,people,BG Armstrong,eca08a1d
info,registry,people,BG Illing,80a0cd77
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,CA Gurrey,1e579ad5
info,registry,people,CM Brown,448f4f1c
info,registry,people,Damian Morrow,0fb1f503
info,registry,people,E Buchanan,e23c041b
info,registry,people,E Wolland,415c9efb
info,registry,people,HE Topp,d9b3ff0a
info,registry,people,J Gardner,184512d1
info,registry,people,JM Watkin,7239a365
info,registry,people,JO Penfold,321ea9e8
info,registry,people,KA Knight,4291f081
info,registry,people,LF Boucher,51afe432
info,registry,people,LR Down,19147fe0
info,registry,people,MBA Lamplough,997fffbe
info,registry,people,ML Green,865eae1f
info,registry,people,MM Penfold,645b2a2f
info,registry,people,MW Downes,d8e8179f
info,registry,people,NH Patel,d945db3e
info,registry,people,P Catton,22e8ba50
info,registry,people,SB Martin,08ad6466
info,registry,people,SRM Morris,74b402c6
info,registry,people,T Semmens,3b471aa4
info,registry,people,T Wakelin,9585d793
